负压_kPa,实际温度_°C,预测温度_°C
-14.057,106.45,109.70025184313728
-13.94,106.0,110.51671113255571
-13.785,107.19999999999999,111.11202372685834
-13.781,105.80000000000001,110.57692244690682
-13.741,106.3,111.42791526931329
-13.71,107.95,110.94184630065114
-13.305,108.45,111.25512224402819
-13.052,107.25,109.4322238979503
-12.92,111.69999999999999,112.91627434699352
-12.827,108.8,111.04574448394943
-12.626,110.55000000000001,109.2412092620892
-12.616,110.4,107.91939692339251
-12.512,110.65,112.45066700092202
-12.489,110.25,107.75793799506094
-12.477,110.25,108.88206528168844
-12.475,107.30000000000001,107.37235922271412
-12.471,109.45,106.9801603777759
-12.44,112.85,111.15523470472866
-12.414,106.8,107.39479558463594
-12.401,105.80000000000001,107.06474047851741
-12.393,108.15,110.01547009433776
-12.382,110.05,107.80894046658278
-12.371,112.85,113.99456646074823
-12.371,107.15,108.33910061315702
-12.354,108.9,111.42824049208747
-12.352,109.05,106.94960899045219
-12.351,109.35,107.5126667331996
-12.348,112.9,109.89097826673442
-12.344,109.65,110.95736337525744
-12.339,113.75,112.60219376095682
-12.332,107.25,107.80375202116308
-12.33,104.25,106.61446615862214
-12.326,108.25,106.88960106520146
-12.288,111.4,110.81356376232948
-12.269,109.35,108.85399008284901
-12.254,100.55,107.6984814239915
-12.251,109.05,109.6463665616645
-12.25,111.0,110.86343851911757
-12.236,102.25,106.89484214207016
-12.231,103.69999999999999,107.21671483329463
-12.229,112.2,109.11759363782596
-12.228,113.85,112.69857645090136
-12.223,109.7,111.14258680906237
-12.221,108.3,109.43657337713049
-12.218,111.35,110.58749977769789
-12.216,111.75,109.2888968327271
-12.205,109.9,107.54783879118717
-12.2,112.95,110.38393522231307
-12.195,103.19999999999999,107.75082582617772
-12.194,106.75,108.57786500304992
-12.186,98.6,107.6305315510237
-12.184,112.75,111.49314446903121
-12.184,109.1,108.06092403525714
-12.181,106.7,107.8632459822108
-12.176,111.25,110.05956509184716
-12.173,111.85,110.35424003849693
-12.168,112.05,110.1411224805043
-12.165,109.0,110.94900156523393
-12.164,106.9,107.58874364992813
-12.16,102.95,107.28611347041395
-12.16,110.85,110.68500738592695
-12.155,106.4,110.31498505004849
-12.153,103.55000000000001,107.11552834660341
-12.149,110.65,111.7967657220279
-12.144,98.35,107.47618759704599
-12.137,111.0,110.39502557456161
-12.13,109.85,107.51748420200475
-12.128,114.7,112.44139593661686
-12.127,108.19999999999999,110.54053848759006
-12.127,108.5,110.86832914916938
-12.127,110.69999999999999,108.71582430494229
-12.121,108.9,107.20677261869996
-12.117,113.25,112.1432954456105
-12.116,108.6,109.38084868445807
-12.108,101.65,107.84261720178056
-12.105,107.5,110.30913282190699
-12.105,108.65,108.5450684019548
-12.103,100.25,107.23427324427755
-12.1,101.15,108.54756797291554
-12.099,105.45,107.26057086667473
-12.098,109.8,110.64961022168906
-12.089,109.15,111.27354777745069
-12.089,109.9,110.47294385902116
-12.086,110.15,110.24338722805146
-12.084,110.15,108.91577047797759
-12.083,110.7,110.09691853479198
-12.082,112.65,110.31086404286063
-12.082,109.8,108.71691149457834
-12.08,110.75,111.18480653429559
-12.077,111.6,110.76749154933327
-12.077,109.0,107.1555368719077
-12.077,110.3,110.19552344416371
-12.071,110.5,111.51351107003762
-12.064,111.25,110.44306630743169
-12.063,108.5,108.00477870317766
-12.061,111.15,109.4697651062484
-12.061,111.1,108.46466387965309
-12.057,108.8,110.08161048559847
-12.057,109.19999999999999,108.25385702801049
-12.056,102.9,107.50015984789643
-12.054,110.5,111.69035092276054
-12.052,112.55,111.91408696395075
-12.051,105.8,107.32847533378836
-12.051,106.8,108.89686247457105
-12.05,110.9,109.94323523589456
-12.05,111.1,110.59534062724755
-12.045,107.85,107.92503031451672
-12.042,103.5,107.22391986555338
-12.04,111.3,111.41957341737417
-12.039,108.9,107.3707055679814
-12.037,113.05000000000001,112.04601384030951
-12.034,111.45,109.58887932088486
-12.033,107.4,111.16936598561982
-12.031,109.5,110.06681545077677
-12.024,108.8,106.8469069871059
-12.023,108.45,111.21348913918182
-12.02,108.75,110.65718564189233
-12.019,113.1,113.69159252518081
-12.019,110.95,107.96442064316454
-12.016,114.25,111.99902636355488
-12.014,109.4,106.71138921605261
-12.013,106.85,110.09067510634019
-12.008,107.30000000000001,110.20800392270438
-12.008,107.5,110.3632229092998
-12.005,110.75,108.38706304583532
-12.004,113.94999999999999,113.7813093246226
-12.004,109.80000000000001,111.16933058997017
-12.004,111.05,109.74057287664037
-11.998,112.5,111.89533076688501
-11.997,110.5,110.41428645105509
-11.995,112.2,112.38472665418071
-11.993,115.2,113.49510669428761
-11.993,111.05000000000001,109.33623349898626
-11.99,109.5,107.80970774731398
-11.99,110.55000000000001,109.4974501463908
-11.989,110.9,110.13943798932056
-11.987,112.45,112.02325589207808
-11.985,109.3,105.64638875254815
-11.979,113.1,110.47235913043737
-11.976,112.9,111.98318918358943
-11.974,109.7,106.51541863945356
-11.974,110.05,108.01485423457379
-11.974,112.0,111.46107781514448
-11.972,111.85,110.89855260270978
-11.971,110.55000000000001,108.38810284819424
-11.971,115.3,112.79411294954258
-11.97,113.4,113.40342304574058
-11.968,110.8,110.29686698566499
-11.967,109.94999999999999,107.62918517561948
-11.967,107.55,108.4275181363436
-11.967,115.05000000000001,113.99570729846485
-11.967,104.1,106.9211920608367
-11.965,108.65,111.12379173810446
-11.965,113.55,112.15276759186926
-11.963,110.4,111.63600680708922
-11.959,115.80000000000001,114.28716077529906
-11.957,105.25,108.77896324145613
-11.957,102.5,108.06132929733174
-11.957,111.35,110.73626123521638
-11.956,106.95,108.0197827429984
-11.954,112.44999999999999,112.81913734341242
-11.953,104.85,107.58617895201367
-11.953,108.95,106.89289101136241
-11.953,109.19999999999999,108.3411974007032
-11.947,109.7,109.9948032081913
-11.942,112.95,112.03486621870483
-11.938,108.9,108.13410315493252
-11.938,110.94999999999999,111.11735128520331
-11.935,114.9,112.10133448919818
-11.933,110.3,110.45284817654878
-11.931,104.35,107.80846382507842
-11.93,108.85,108.21468635241104
-11.929,107.94999999999999,109.50000971126207
-11.929,105.7,106.60693285310357
-11.928,107.8,108.36656723216807
-11.928,108.8,108.28068952908228
-11.923,112.4,111.95837010380842
-11.923,113.25,112.52368494416618
-11.923,114.65,111.54537471154417
-11.919,110.05000000000001,109.52538975215093
-11.919,110.15,110.40673832298019
-11.915,109.75,110.7682293337203
-11.913,109.25,108.53724967580555
-11.913,106.69999999999999,108.6485960900906
-11.912,110.75,106.9042132433247
-11.912,116.55000000000001,113.2738957022663
-11.91,107.7,106.83811492862259
-11.909,114.1,110.76774080126633
-11.908,108.05,108.50424340031564
-11.904,115.30000000000001,112.62417376187194
-11.9,109.8,110.3901986659381
-11.9,107.0,108.02111079009617
-11.896,108.6,109.06205639667257
-11.893,109.1,110.21513693069656
-11.891,109.85,111.47968670667923
-11.89,107.80000000000001,108.31154806331037
-11.89,110.45,111.7098476422191
-11.887,111.6,113.9112004953135
-11.886,106.35,106.89763587308076
-11.885,110.7,110.72588445061837
-11.883,111.25,113.44421358321766
-11.883,109.55000000000001,111.19201968896357
-11.883,109.85,111.76139130570229
-11.883,111.5,111.73886157643682
-11.882,112.9,110.82792084956421
-11.882,107.9,110.00367550019503
-11.88,111.55,111.29812825128994
-11.879,113.05000000000001,111.62754812364042
-11.878,110.69999999999999,110.1643512490534
-11.877,112.0,111.67369809134622
