2#大烟道温度,CO浓度_mg_m3
154.8,3513.455
154.4,3532.625
152.8,3486.69
151.2,3540.22
146.8,3574.942
143.3,3505.498
140.9,3615.451
140.3,3658.493
138.6,3673.683
138.9,3570.602
140.7,3635.706
142.6,3556.135
143.9,3430.628
144.9,3395.544
144.5,3372.396
142.9,3292.463
141.0,3346.354
139.1,3360.822
137.5,3338.759
136.6,3364.8
138.3,3399.161
139.4,3536.242
139.2,3528.646
140.1,3528.646
142.9,3569.878
145.3,3479.456
147.4,3475.839
149.6,3430.628
150.7,3486.69
151.3,3505.859
151.6,3528.646
149.6,3557.943
147.9,3483.073
147.1,3521.05
146.4,3536.242
146.4,3493.924
148.1,3501.881
149.5,3563.73
149.5,3495.37
148.3,3498.264
148.9,3460.648
149.8,3532.625
149.9,3461.01
149.7,3486.69
149.3,3505.859
149.2,3552.156
149.4,3551.794
149.1,3544.199
149.8,3483.435
150.4,3395.544
150.1,3327.546
149.1,3284.867
147.4,3312.355
145.9,3326.823
144.6,3411.097
143.0,3423.033
141.7,3509.838
141.2,3498.264
141.1,3461.01
140.6,3509.115
140.2,3501.881
139.7,3532.625
138.9,3598.09
137.5,3567.347
136.3,3559.751
136.1,3552.156
136.6,3486.69
137.6,3517.433
137.9,3544.199
137.5,3551.794
137.1,3525.029
137.2,3654.152
137.5,3963.397
138.1,3917.463
139.1,3886.719
140.6,3871.166
141.8,3925.058
144.2,3830.295
146.3,3776.403
148.2,3594.473
149.3,3592.303
149.4,3559.751
146.4,3616.175
143.4,3653.791
143.2,3733.724
141.9,3855.975
142.9,3646.919
143.5,3761.213
143.5,3753.617
143.8,3756.872
144.2,3803.53
144.4,3944.589
144.4,3977.141
144.6,3944.227
143.9,3961.95
142.9,3932.653
142.3,3951.823
142.4,4015.842
143.7,4169.56
145.5,4202.835
146.9,4156.901
147.3,4153.646
147.1,4190.9
147.4,4187.645
148.1,4198.857
149.1,4180.049
150.1,4191.985
150.9,4145.689
151.9,3882.74
154.0,3666.088
157.0,3486.69
159.6,3372.396
160.8,3242.549
161.0,3197.338
160.7,3219.763
160.5,3223.38
160.2,3269.314
159.7,3292.463
158.6,3342.737
155.9,3376.013
152.9,3418.692
148.2,3376.013
145.9,3464.989
146.2,3490.669
149.3,3449.074
152.8,3197.338
153.1,3044.705
153.6,3379.992
153.7,3509.838
153.6,3418.692
153.7,3418.692
154.7,3497.902
155.6,3563.73
155.5,3600.622
154.7,3608.941
155.7,3548.177
159.5,3532.263
163.1,3509.115
165.1,3402.778
165.3,3338.759
163.5,3349.971
160.9,3429.905
159.0,3525.029
159.0,3594.112
159.8,3567.347
159.7,3551.794
158.7,3505.859
157.8,3441.117
158.4,3395.544
159.0,3357.205
158.9,3260.995
157.3,3235.315
155.8,3150.318
154.2,3204.21
152.1,3154.297
149.8,3187.572
148.0,3205.295
146.4,3269.314
144.3,3335.142
142.6,3383.608
141.8,3407.118
141.3,3441.479
141.3,3458.117
141.3,3493.924
140.8,3464.989
