2#大烟道负压,CO浓度_mg_m3
-13.887,3411.097
-13.853,3315.611
-13.874,3220.486
-13.868,3238.571
-13.856,3262.442
-13.837,3193.721
-13.88,3231.699
-13.883,3250.145
-13.845,3288.846
-13.852,3323.568
-13.898,3383.608
-13.843,3289.207
-13.864,3276.91
-13.85,3269.314
-13.83,3292.101
-13.892,3265.335
-13.883,3346.354
-13.887,3364.8
-13.884,3420.862
-13.892,3475.839
-13.884,3453.415
-13.929,3441.84
-13.913,3456.308
-13.854,3364.8
-13.839,3327.546
-13.878,3399.161
-13.858,3315.972
-13.864,3227.72
-13.911,3216.146
-13.917,3246.528
-13.913,3261.719
-13.906,3350.333
-13.932,3372.757
-13.935,3372.396
-13.923,3449.074
-13.906,3403.139
-13.907,3327.546
-13.887,3269.314
-13.921,3292.101
-13.94,3209.274
-13.924,3224.103
-13.918,3246.528
-13.93,3368.417
-13.946,3368.055
-13.89,3391.204
-14.132,3445.819
-14.158,3493.924
-14.176,3483.073
-14.157,3464.989
-14.166,3430.628
-14.172,3449.074
-14.16,3472.584
-14.112,3391.204
-14.145,3331.163
-14.127,3288.484
-14.184,3238.571
-14.113,3151.042
-14.136,3197.338
-14.169,3342.737
-14.171,3335.142
-14.11,3418.692
-14.138,3475.839
-14.139,3548.177
-14.132,3475.839
-14.164,3418.692
-14.185,3453.415
-14.192,3395.182
-14.222,3341.291
-14.267,3308.015
-14.217,3231.699
-14.206,3197.7
-14.18,3296.079
-14.179,3379.992
-14.176,3464.265
-14.176,3439.67
-14.164,3399.161
-14.16,3296.441
-14.147,3197.338
-14.138,3200.955
-14.153,3101.852
-14.199,3123.915
-14.176,3166.233
-14.317,3234.592
-14.733,3347.078
-14.71,3395.544
-14.669,3426.649
-14.76,3501.519
-14.699,3619.792
-14.733,3544.922
-14.763,3582.537
-14.766,3532.625
-14.181,3486.69
-14.167,3414.713
-14.145,3272.931
-14.164,3254.123
-14.132,3266.059
-14.211,3273.655
-14.225,2679.037
-14.24,1848.958
-14.228,3117.043
-14.141,3228.082
-14.153,3205.295
-14.153,3250.145
-14.232,3232.06
-14.266,3181.785
