负压_kPa,实际温度_°C,预测温度_°C
-16.652,213.35,283.0776506492137
-16.644,213.35,288.21397507452855
-16.641,268.1,305.8539794158294
-16.631,381.35,375.6604368901796
-16.623,333.0,325.5101369206684
-16.334,246.55,285.69228039144224
-16.243,240.6,286.7599721461602
-16.09,267.95,286.12769806528723
-15.945,411.25,415.29576101038964
-15.588,268.20000000000005,282.85446368923635
-15.231,268.2,285.09306456889936
-15.044,427.05,428.6483170619509
-15.033,371.75,362.72776483166786
-14.979,362.1,363.56901787193357
-14.978,386.79999999999995,391.489852347074
-14.959,377.85,369.00358050420857
-14.955,415.4,400.1441415370819
-14.934,418.15,409.4857460897587
-14.929,380.1,400.02604412593723
-14.925,397.0,396.35572048353174
-14.905,243.3,282.58465366074984
-14.819,379.65,361.17051321382024
-14.767,394.35,390.9776597567892
-14.764,372.85,367.97357700252667
-14.762,402.20000000000005,400.7614799152743
-14.762,368.55,373.3957485210942
-14.761,391.65,407.4247318130526
-14.756,413.7,396.0043565250365
-14.751,390.70000000000005,390.23753395637976
-14.738,349.4,349.9869950476416
-14.729,399.04999999999995,387.4749997041464
-14.726,410.85,403.47552436965606
-14.714,346.0,325.25438300839454
-14.699,429.65,428.40391166148993
-14.693,410.85,415.1713082870604
-14.692,364.4,359.1966651813915
-14.689,354.7,324.3249426952232
-14.674,360.1,360.53396521282184
-14.667,376.1,387.67097189523554
-14.666,283.95,308.72414846405263
-14.663,444.5,424.6790602484474
-14.654,446.5,446.07417224918214
-14.65,376.85,379.6903386461799
-14.646,245.3,285.9951732084183
-14.638,309.1,335.0919944008939
-14.632,462.8,454.18829020655227
-14.609,448.6,456.9004291978583
-14.599,409.1,385.86816404104064
-14.583,372.2,382.0659295879924
-14.544,345.95,414.4197877248263
-14.535,334.4,332.90428378706025
-14.535,352.45,339.9465870391871
-14.506,319.1,348.6741473919976
-14.505,358.9,364.64249119825735
-14.494,351.8,387.1875483671834
-14.482,418.95,416.9992185492923
-14.479,345.75,363.3162644536853
