负压_kPa,实际温度_°C,预测温度_°C
-16.836,299.65,302.42672222482
-16.814,279.35,261.89080861783316
-16.792,241.9,199.49156231319427
-16.783,196.10000000000002,188.57519380599314
-16.768,155.65,190.13487302562132
-16.511,148.0,185.16233465374455
-16.328,148.6,187.15331689502992
-16.266,316.5,308.5944291816868
-16.211,150.05,188.57067714213466
-15.763,161.5,189.94369647512667
-15.334,165.10000000000002,193.68925819319932
-15.321,339.4,301.0598830469609
-15.197,213.25,221.4978223995532
-15.189,224.60000000000002,224.42089562493157
-15.18,226.6,206.28406163039676
-15.179,157.85,187.3201698845453
-15.176,228.25,230.61978390051812
-15.164,246.95,243.9025010901189
-15.16,238.75,240.22950886631935
-15.15,236.55,238.77890973738087
-15.143,217.15,208.78913801078517
-15.14,253.79999999999998,258.30942468600983
-15.135,278.15,258.94951435814164
-15.134,225.05,233.69595296033188
-15.129,239.55,216.28624423944504
-15.128,247.85,253.7883167705795
-15.127,268.70000000000005,262.2963300256941
-15.12,302.54999999999995,297.8043596581364
-15.111,302.6,289.4434748938188
-15.104,301.4,286.8688892220722
-15.104,269.1,254.25565556234642
-15.101,285.6,268.8842544240234
-15.101,195.15,191.24253472345728
-15.098,322.95,308.89395693360154
-15.096,186.5,190.25077720485106
-15.096,213.35,196.00247213515158
-15.093,314.45,324.07721741231563
-15.092,278.5,256.24645425094053
-15.09,290.95000000000005,277.70684387859546
-15.072,294.2,295.9116395816935
-15.063,303.45000000000005,304.19978795009456
-14.988,372.1,330.82674859161676
-14.988,373.95,342.89853290367006
-14.987,216.1,211.19728687703036
-14.98,319.4,300.26032678466146
-14.977,220.9,205.1278559211954
-14.969,239.6,244.77592305558605
-14.965,225.0,205.83632048206402
-14.963,249.0,246.3962495586836
-14.95,254.45000000000002,253.68782773857393
-14.95,234.75,241.90377236035508
-14.947,243.7,220.68635054572272
-14.939,266.0,236.44750421616322
-14.931,258.65,235.89714308575833
-14.92,238.25,215.93799435568164
-14.902,250.95,260.6396791235862
-14.886,278.54999999999995,281.39474091684474
-14.882,224.0,228.9811389591216
-14.88,218.39999999999998,208.21458457972298
-14.88,216.5,179.65124606548778
-14.874,224.65,226.444837736243
-14.874,308.85,306.6073617175425
-14.86,190.2,191.47762487273505
-14.859,253.05,265.41278371075134
-14.857,189.85,184.59313609478815
-14.852,195.6,191.48558641386413
-14.852,188.25,192.93790557469086
-14.849,224.85000000000002,238.13681791255814
-14.846,194.05,178.97872746021906
-14.846,174.5,180.99350401171702
-14.846,332.9,330.75646500418475
-14.843,244.45,217.15907298783546
-14.839,281.70000000000005,285.7716520363472
-14.835,190.0,198.22378036244714
-14.834,192.60000000000002,188.65982123826058
-14.834,311.05,336.58711926873116
-14.833,296.6,280.63326279468345
-14.827,247.1,247.6757517613867
-14.826,309.05,289.49168239736883
-14.826,184.65,186.0461286432592
-14.824,206.0,196.1790861559289
-14.824,331.15,317.56344261478444
-14.82,281.3,291.3445134924413
-14.819,316.75,304.654006074897
-14.819,183.45,186.44024912143016
-14.819,266.0,288.2475457230735
-14.816,282.2,275.71615115107807
-14.813,265.0,256.80197948901514
-14.812,176.15,186.50284218558232
-14.811,256.85,245.7160576721284
-14.808,202.25,222.69453059077318
-14.807,255.5,260.9954910751068
