负压_kPa,实际温度_°C,预测温度_°C
-16.453,368.95,438.6605973666871
-16.435,403.6,440.2024703734977
-16.388,338.15,438.3122925448745
-16.369,337.15,439.19837619948794
-16.341,381.35,440.2843056397001
-16.072,412.6,440.6530489322606
-16.042,429.8,441.09356241896154
-15.893,383.3,438.817063198861
-15.641,422.05,443.6351883369197
-15.334,375.0,437.83321763036196
-15.066,459.85,466.26674898274536
-14.777,520.75,522.1198914844277
-14.753,506.45,509.8003729207388
-14.729,504.7,504.54543753531635
-14.709,454.35,457.478072927094
-14.703,508.75,511.9172573058003
-14.697,519.0999999999999,520.2197776358175
-14.694,515.25,514.968063856175
-14.685,498.6,501.5412476629135
-14.643,507.95000000000005,501.2748895630303
-14.616,433.0,440.56433847519946
-14.557,516.35,512.9592783884942
-14.538,513.3499999999999,515.7584243447232
-14.535,514.25,511.85193147901816
-14.526,522.2,519.6350727993745
-14.525,499.65,498.54523472424324
-14.518,476.5,477.3585451061139
-14.514,514.35,514.5864757794783
-14.512,512.35,514.354468793368
-14.51,515.35,518.3389015876545
-14.508,447.1,443.90689452315337
-14.507,487.04999999999995,477.87497808818466
-14.506,531.7,522.0808506366142
-14.505,519.5,512.8957896015665
-14.489,522.95,523.4477699519513
-14.481,520.7,519.4438893716919
-14.474,515.9,514.0115077198853
-14.467,411.35,436.4527172969347
-14.456,489.9,482.9324711811212
-14.45,530.9,527.7424231109501
-14.422,527.65,524.1031274594861
-14.391,534.8,532.7442764211642
-14.39,521.05,513.4554358189836
-14.384,508.54999999999995,509.9946441473386
-14.379,529.55,526.0621636436425
-14.367,529.3,527.6595048463371
-14.36,530.5,529.7319833210737
-14.351,510.95,512.0973430330325
-14.325,485.20000000000005,501.2306751271374
-14.32,532.35,525.677408672347
-14.299,490.95,491.9891168073138
-14.295,536.7,530.0085061187464
-14.287,508.9,499.6483487790318
-14.276,531.8499999999999,531.2020077162732
-14.27,515.1,510.8489100432241
-14.255,519.0,520.8810113154988
-14.25,516.4,516.3034366653391
-14.235,519.7,521.5150886035495
-14.233,518.75,518.560058437126
-14.23,523.3,519.6677041003848
-14.215,517.7,516.4266378992661
-14.207,525.95,521.145928021892
-14.206,520.5999999999999,521.3241021010458
-14.204,524.6,525.3531986648686
-14.199,502.8,510.4722509409065
-14.199,518.5999999999999,520.5874894693662
-14.194,531.9000000000001,526.0328201192872
-14.194,503.29999999999995,505.3674332245218
-14.193,508.1,507.3549930692619
-14.185,511.0,516.2086897778311
-14.185,516.25,512.0246655157106
-14.181,520.55,519.3949434574655
-14.178,517.65,519.6537514200467
-14.177,532.5,529.5458526812137
-14.167,527.15,525.0867289914513
-14.166,529.8,530.8432216961987
-14.145,509.20000000000005,509.294564166329
-14.141,525.65,502.39762827487453
-14.133,500.0,496.9366572339692
-14.129,511.0,511.4438130730721
-14.128,520.25,523.4610166415537
-14.12,488.55,503.31520285051437
-14.119,484.9,482.4991518398544
-14.114,525.9,521.0299877326169
-14.11,512.05,509.91950096685395
-14.1,523.95,520.0701134639464
-14.098,487.45000000000005,483.74766844208256
-14.095,516.05,514.6258794754532
-14.091,529.5,528.1750177454339
-14.089,498.79999999999995,500.22135915603405
-14.088,526.45,523.483231980183
-14.087,512.5,514.1746375810234
-14.083,499.35,504.86200405385
-14.081,514.15,517.5356816912881
-14.081,535.8,530.3829671958013
-14.076,479.4,481.88931675425056
-14.076,483.8,482.9571231116632
-14.072,461.6,480.20120743335036
-14.068,510.5,497.10998889420523
-14.066,432.8,450.2477242726314
-14.063,500.8,498.46642912993025
-14.062,521.55,521.5693603510434
-14.062,492.05,492.7027429489034
-14.053,538.3,531.887622789156
-14.05,521.6,516.2907096781372
-14.05,511.6,514.1246643620823
-14.047,537.4,533.4386174783338
-14.046,532.45,527.4595539111037
-14.044,507.5,508.37142846679865
-14.043,524.2,525.775370953348
-14.035,531.6500000000001,530.9107304580672
-14.034,461.55,465.7480026145175
-14.033,512.9,513.3526857614025
-14.028,512.2,512.8481240169741
-14.024,522.1,525.7388032831706
-14.019,517.5,520.7508159386834
-14.017,481.55,481.5906125340266
-14.017,480.6,479.22674962172334
-14.012,515.55,515.6171909960566
-14.006,517.85,518.8049721783809
-14.005,536.55,534.2447800214749
-13.997,525.5,519.2235251024148
-13.996,472.45,478.7307217454488
-13.993,523.25,519.9805175265792
-13.993,467.6,470.338044369644
-13.984,495.8,491.27817479006495
-13.98,486.65,487.7789660235095
-13.98,531.75,529.0865269309425
-13.978,499.35,506.44758564955106
-13.976,529.2,526.7532483824217
-13.975,518.3499999999999,523.5962759659628
-13.973,535.5,531.3271705336708
-13.969,503.95000000000005,499.1372118368199
-13.968,517.0,515.1102365672356
-13.965,516.4,516.3734117286019
-13.961,493.95,494.0091368761914
-13.958,519.1,517.6350671318667
-13.958,522.55,522.3938385550662
-13.958,498.3,499.44039748209093
-13.957,520.3499999999999,525.8179857275773
-13.956,515.3499999999999,514.551393245423
-13.956,528.85,525.3900854298895
-13.956,511.95,514.7409423086194
-13.95,515.6,516.3487134620043
-13.947,525.45,521.4228193976355
-13.945,422.0,441.7240611221558
-13.943,490.35,495.6225016874154
-13.942,506.6,505.59555115552917
-13.941,510.54999999999995,509.7095926296453
-13.938,520.5999999999999,517.288474942025
-13.938,505.85,508.1330177998987
-13.937,519.0,514.5122498146935
-13.937,514.25,512.2179053571584
-13.935,523.95,525.4678568104538
-13.934,520.5,516.6655355238958
-13.931,523.55,523.0838981834464
-13.93,530.6,525.3726033263927
-13.927,511.0,508.5863518647101
-13.926,495.54999999999995,497.8365007196524
-13.923,501.7,498.63928919639307
-13.923,523.8,522.3710479715581
-13.92,512.65,512.3249209894727
-13.92,497.9,501.53576115635013
-13.92,532.05,531.4087001379122
-13.919,491.04999999999995,485.53958723555894
-13.919,493.1,497.9066877583334
-13.917,512.9,516.7132741988404
-13.916,430.35,441.9682122519287
-13.915,528.05,530.48855556931
-13.914,521.2,522.3059339725999
-13.914,522.75,526.0920230869548
-13.914,501.45,504.0194013266922
-13.914,502.75,499.94533837412536
-13.912,523.8,525.211305115129
-13.911,522.0,514.1192491135132
-13.909,491.65,486.47784843518207
-13.909,497.0,490.9305155518975
-13.908,518.2,519.2661251931128
-13.908,513.1,523.3078850001096
-13.908,516.35,519.479823585988
-13.905,497.35,498.0353060042137
-13.903,520.6,514.7664785737051
-13.902,522.2,525.4162923469207
-13.901,526.1500000000001,525.2805142812075
-13.9,532.45,525.7167140511892
-13.9,516.2,517.980886416812
-13.898,531.75,532.1458568373281
-13.898,526.5,520.3490730920423
-13.898,520.4,521.6614628132634
-13.898,525.45,524.4081389827888
-13.896,530.55,529.5777182869152
-13.893,523.75,522.6981265143505
-13.893,511.54999999999995,511.66458689839305
-13.893,516.55,517.3787467537891
-13.89,526.0,522.7745769329613
-13.886,519.8,521.1335394750641
-13.885,495.95,503.07506691883395
-13.884,509.1,504.8338029519314
-13.883,523.05,524.5936520713173
-13.883,517.4,514.0389384837207
-13.882,514.05,512.9437477119532
-13.879,517.85,522.2179647362302
-13.874,517.5,519.1947231346262
-13.874,504.45000000000005,502.12470887064615
-13.871,510.3,511.35754323195636
-13.866,444.65,449.78445423980685
-13.864,528.65,527.2483842566007
-13.863,501.7,502.2164372853574
-13.86,527.6,525.5928701408415
-13.859,522.85,518.4559497122574
-13.858,505.95000000000005,504.7121792825367
-13.855,520.15,521.696386980727
-13.853,528.45,526.0544928644231
-13.852,514.35,514.3190892354305
-13.851,507.54999999999995,499.98897047388056
-13.849,520.2,516.7297974054189
-13.848,507.85,514.6490982711537
-13.847,526.95,530.0596098721682
-13.845,495.95,494.9420796666203
-13.84,526.05,525.8261756603163
-13.838,509.35,509.5787637265158
-13.836,503.04999999999995,507.09846671151604
-13.836,511.20000000000005,515.502900773847
-13.836,526.3,528.9782700019858
-13.836,528.25,527.2936170462027
-13.83,511.65,516.3029761143576
-13.829,505.15,509.8425593776655
-13.826,534.35,531.5371896857698
-13.826,527.95,529.5215516680602
-13.822,516.3,518.8083142974134
-13.819,508.54999999999995,512.07238354303
-13.819,520.55,520.1955455985875
-13.819,490.9,494.40608802481387
-13.818,515.85,514.1952566926182
-13.817,514.5,514.9648678008466
-13.811,460.95,465.9068328276389
-13.811,510.45,512.952286764965
-13.81,525.05,521.6052733664045
-13.81,526.55,527.9222111434065
-13.806,495.15,500.8612644733355
-13.804,510.75,507.7159805793488
-13.804,515.4,513.9848960505151
-13.8,534.45,533.8219219265621
-13.798,484.45000000000005,483.31857395533007
-13.793,537.3,531.1930525161565
-13.793,519.6,522.005888799222
-13.789,521.35,522.8187587444731
-13.788,506.2,505.546481630023
-13.783,513.85,508.36293335388075
-13.781,531.85,531.6287959329202
-13.778,530.7,527.5103611255566
-13.773,488.6,491.38642240951526
-13.772,514.45,515.5723482227202
-13.772,479.3,478.94383019754827
-13.765,532.7,532.0998358208535
-13.757,522.85,522.4424921928747
-13.751,496.45000000000005,495.05293970469046
-13.751,528.9,527.8586205049949
-13.75,511.6,510.2032948006221
-13.748,523.05,526.6842232341668
-13.744,506.15,509.1310086141825
-13.729,515.25,519.0310964272356
-13.723,511.75,511.00211573756815
-13.714,513.85,509.84603923596444
-13.713,501.25,502.29006651048184
-13.71,515.5,509.24353260589544
-13.703,511.75,510.71464883506485
-13.702,527.0,524.2753638503792
-13.701,510.55,510.86387951656894
-13.695,491.9,491.3252591333606
-13.692,384.45000000000005,456.8812789507363
-13.69,493.5,496.00290349021736
-13.69,469.1,481.0126125556759
-13.684,499.0,496.0424787288105
-13.668,506.85,518.7536475717486
-13.666,500.75,499.0751252532383
-13.658,519.3,523.6025705908421
-13.657,512.6,515.5226425263251
-13.657,513.25,516.4438602262635
-13.652,503.3,504.03768122448554
-13.65,523.45,524.7872544569857
-13.65,525.3,525.2239078611046
-13.648,518.95,518.2370679258079
-13.646,528.45,527.4233425776172
-13.642,515.8499999999999,521.7773816805985
-13.642,521.95,524.4657012678158
-13.641,494.1,506.0859824867988
-13.639,510.70000000000005,510.6263884349177
-13.636,510.6,502.8036306802203
-13.631,514.55,517.303636150621
-13.628,521.85,524.1565275019644
-13.623,516.1,514.3903999644135
-13.623,522.7,523.1762122627365
-13.623,521.0,521.2627300008705
-13.622,500.65,506.8178903177421
-13.62,510.79999999999995,511.511204797326
-13.615,521.6,524.6994151705591
-13.612,521.4,523.4647304383848
-13.609,525.3499999999999,523.1750536208795
-13.604,518.1,522.6309476575675
-13.6,511.9,508.4954329632791
-13.594,523.7,523.8848605348819
-13.593,518.6500000000001,524.2747571452355
-13.593,522.1,523.5875590347885
-13.593,508.25,514.4617460496958
-13.592,521.3,525.9639306888043
-13.59,520.75,520.5537837146011
-13.589,521.5,523.3881559332222
-13.589,532.5999999999999,530.5087030245065
-13.583,499.75,504.6198911121148
-13.581,498.70000000000005,502.7502299847893
-13.579,518.3,523.3053890383245
-13.575,522.2,523.4288659878279
-13.572,521.8,522.5128790917615
-13.568,519.5,516.0233197277049
-13.562,433.54999999999995,475.4240487967014
-13.562,505.6,509.5326569674043
-13.562,523.6,524.3206099534844
-13.561,532.25,534.1224401911976
-13.561,526.55,530.772833015936
-13.561,521.8499999999999,524.798513547888
-13.555,526.9,525.3749443841425
-13.553,530.55,532.9875636912232
-13.553,517.8,519.7888145131569
-13.542,517.75,519.9481813273271
-13.542,518.6500000000001,523.8711886969304
-13.538,521.95,518.4677713743364
-13.534,529.1500000000001,528.9734589278028
-13.531,530.8499999999999,525.3973456422659
-13.525,505.05,535.3400514877858
-13.51,503.75,509.0436966971043
-13.507,527.1,530.5178450825919
-13.506,526.95,528.4602578348102
-13.487,514.3,510.64936770322873
-13.485,529.9,526.6490393049837
-13.478,525.4000000000001,522.9587269272553
-13.469,508.05,509.8012137741524
-13.458,508.15000000000003,515.1537422963412
-13.456,440.75,507.66069708618846
-13.415,517.35,524.7774552215061
-13.402,536.65,532.545889738924
-13.389,511.45,515.7641746509253
-13.384,512.3499999999999,512.241813031201
-13.381,536.35,534.5342451376974
-13.38,485.2,491.56009153621574
-13.37,532.7,533.2874058203691
-13.35,524.95,522.5297964289807
-13.349,495.54999999999995,490.81089976813604
-13.335,533.0999999999999,533.434482588834
-13.332,534.55,532.7937224108458
-13.308,530.15,532.7477216829333
-13.304,504.75,505.50902009614987
-13.301,518.15,516.0908480574262
-13.297,539.1,532.2701682083198
-13.29,495.3,496.39204571008116
-13.286,528.0,531.1527998502582
-13.284,530.0999999999999,529.6567944299456
-13.283,538.25,532.1305439510792
-13.279,524.95,532.1377958898485
-13.272,526.95,525.885200089699
-13.255,528.7,522.9976320559211
-13.251,515.0,516.7297135304061
-13.245,522.9,527.9696873490743
-13.239,504.8,509.6207642545174
-13.237,509.54999999999995,510.32939191584006
-13.237,511.0,512.8095422979154
-13.237,516.2,519.2578264840632
-13.233,534.75,531.2066671403595
-13.233,529.6,533.522269878195
-13.225,526.0,530.610728951155
-13.222,511.75,516.5903233077639
-13.22,535.35,533.4849663681808
-13.213,535.25,530.4828563748442
-13.189,455.2,456.66512109440487
-13.179,517.0,512.6852422791917
-13.178,520.9,521.2691067797298
-13.175,516.45,511.4645102270619
-13.175,512.7,514.7575676066622
-13.166,530.25,532.1373316566794
-13.166,515.45,504.99366020372725
-13.162,511.45000000000005,504.86414043846895
-13.16,525.3,526.8906404555358
-13.143,528.95,526.8773370089028
-13.134,525.2,526.78499459024
-13.134,527.8499999999999,524.7938917546376
-13.129,514.55,524.8481690845614
-13.126,525.0,521.3872507523331
-13.126,527.75,520.4996572769189
-13.122,504.55,516.5083415814711
-13.12,518.25,522.7800271429485
-13.085,512.85,522.2173089582108
-13.084,531.75,526.3870546646616
-13.081,529.6,526.1475773184278
-13.074,513.0,519.6807575110997
-13.065,517.25,516.9467218104421
-13.055,520.0999999999999,521.2662696247056
