1#风箱负压,CO浓度_mg_m3
-11.171,3315.611
-10.988,3220.486
-10.804,3238.571
-10.773,3262.442
-10.841,3193.721
-10.97,3231.699
-11.096,3250.145
-11.052,3288.846
-11.097,3323.568
-11.116,3383.608
-11.15,3289.207
-11.296,3276.91
-11.406,3269.314
-11.325,3292.101
-11.301,3265.335
-11.207,3346.354
-10.999,3364.8
-10.985,3420.862
-11.018,3475.839
-11.089,3453.415
-11.227,3441.84
-11.253,3456.308
-11.19,3364.8
-11.101,3327.546
-11.166,3399.161
-11.193,3315.972
-11.208,3227.72
-11.237,3216.146
-11.23,3246.528
-11.155,3261.719
-11.1,3350.333
-11.04,3372.757
-10.897,3372.396
-10.913,3449.074
-10.891,3403.139
-10.922,3327.546
-11.082,3269.314
-11.209,3292.101
-11.287,3209.274
-11.221,3224.103
-11.092,3246.528
-11.029,3368.417
-11.018,3368.055
-11.012,3391.204
-11.068,3445.819
-11.279,3493.924
-11.309,3483.073
-11.289,3464.989
-11.207,3430.628
-11.126,3449.074
-11.174,3472.584
-11.41,3391.204
-11.439,3331.163
-11.314,3288.484
-11.135,3238.571
-11.045,3151.042
-11.007,3197.338
-10.96,3342.737
-11.026,3335.142
-11.081,3418.692
-11.144,3475.839
-11.183,3548.177
-11.351,3475.839
-11.427,3418.692
-11.39,3453.415
-11.343,3395.182
-11.402,3341.291
-11.347,3308.015
-11.358,3231.699
-11.381,3197.7
-11.31,3296.079
-11.242,3379.992
-11.164,3464.265
-11.144,3439.67
-11.168,3399.161
-11.264,3296.441
-11.362,3197.338
-11.276,3200.955
-11.08,3101.852
-11.077,3123.915
-11.03,3166.233
-10.923,3234.592
-11.368,3347.078
-11.433,3395.544
-11.572,3426.649
-11.637,3501.519
-11.634,3619.792
-11.646,3544.922
-11.634,3582.537
-11.525,3532.625
-11.131,3486.69
-11.096,3414.713
-11.008,3272.931
-11.008,3254.123
-11.044,3266.059
-11.243,3273.655
-11.33,2679.037
-11.324,1848.958
-11.271,3117.043
-11.208,3228.082
-11.118,3205.295
-11.249,3250.145
-11.349,3232.06
-11.365,3181.785
-11.245,3116.681
-11.116,3224.465
-11.12,3350.333
-11.089,3315.972
-11.213,3327.546
-11.365,3257.74
-11.495,3209.274
-11.443,3166.233
-11.286,3253.038
-11.268,3097.873
-11.213,3166.233
-11.137,3193.359
-11.152,3197.338
-11.249,3224.465
-11.203,3197.7
-11.219,3284.867
-11.145,3254.123
-10.958,3209.635
-10.976,3220.486
-11.155,3265.335
-11.42,3335.142
-11.443,3216.869
-11.457,3186.126
-11.28,3191.912
-11.07,3257.74
-10.98,3330.802
-11.001,3342.737
-11.051,3376.013
-11.11,3372.396
-11.256,3361.183
-11.284,3338.759
-11.249,3383.608
-11.245,3453.053
-11.235,3407.118
-11.241,3380.353
-11.134,3300.419
-11.078,3308.015
-11.146,3277.995
-11.101,3335.142
-11.11,3387.949
-11.157,3461.01
-11.349,3594.112
-11.474,3696.832
-11.486,3642.94
-11.369,3601.346
-11.29,3551.794
-11.217,3563.73
-11.179,3525.029
-11.221,3399.523
-11.3,3315.972
-11.362,3414.713
-11.187,3475.839
-11.071,3666.088
-11.194,3905.527
-11.089,3673.683
-11.276,3611.834
-11.367,3429.905
-11.465,3379.992
-11.596,3364.8
-11.541,3391.204
-11.383,3505.859
-11.336,3741.681
-11.168,3855.975
-11.099,3855.614
-11.051,3783.637
-11.044,3776.403
-11.036,3841.146
-11.082,3833.55
-11.12,3901.91
-11.138,3814.019
-11.145,3768.808
-11.249,3844.401
-11.215,3841.146
-11.194,3799.19
-11.171,3798.828
-11.194,3871.166
-11.187,3966.291
-11.126,3969.908
-11.135,4084.563
-11.196,4111.328
-11.141,4121.817
