负压_kPa,实际温度_°C,预测温度_°C
-13.155,90.75,90.7137190565665
-12.674,90.8,90.46652767155224
-12.435,90.85,90.90436124223731
-12.268,86.65,88.52450491538522
-12.127,87.15,88.99873863688538
-12.029,92.25,91.86546098861699
-11.642,87.25,88.33502987192517
-11.642,88.35,88.91240825371509
-11.638,87.85,88.37592470432821
-11.627,91.9,91.71830119518356
-11.618,87.45,88.98874973152445
-11.608,86.69999999999999,88.1505870723344
-11.606,86.85,88.45835271347454
-11.598,86.6,88.27992855415923
-11.594,86.8,88.38978581953003
-11.589,85.55,88.54632335690673
-11.586,83.85,88.25322144640201
-11.585,84.85,87.99108845455333
-11.575,83.55,88.4491713309133
-11.574,91.80000000000001,91.67759530510318
-11.571,91.05,90.74710013756678
-11.57,84.3,88.4558069642728
-11.568,91.0,90.86886670965986
-11.565,85.95,87.99223966273692
-11.565,90.8,91.82740788716455
-11.563,87.5,88.51750129006783
-11.562,89.1,89.00798750564073
-11.561,90.75,91.61454097133193
-11.561,91.15,91.11699178099782
-11.559,91.30000000000001,91.33577337357997
-11.555,89.4,89.3101948215455
-11.553,91.25,90.8418944326907
-11.551,89.05,88.89917351410035
-11.55,92.4,91.90250966300765
-11.55,89.25,90.25836037838411
-11.548,88.75,89.76632819613499
-11.548,91.30000000000001,91.11330941918231
-11.546,89.19999999999999,89.65773241976395
-11.544,88.55,88.69785033264434
-11.542,90.44999999999999,90.53589344325003
-11.541,90.44999999999999,90.2582423063621
-11.541,91.2,91.11770993059422
-11.538,88.0,88.98779346405574
-11.538,91.15,92.17271083990059
-11.538,88.15,88.49663977528355
-11.538,91.0,90.89155214305404
-11.537,90.4,90.76667036865594
-11.535,87.6,88.41623716595417
-11.534,92.30000000000001,91.87561736850823
-11.533,87.44999999999999,88.81157199831897
-11.533,88.4,89.55856794783575
-11.533,88.45,89.47950307057421
-11.531,91.55,91.37165268453741
-11.53,87.6,88.42058926500015
-11.53,88.8,89.11705447525847
-11.529,91.45,91.86294932791282
-11.529,89.4,89.14232268690674
-11.529,90.94999999999999,90.62586563898815
-11.527,91.3,91.04403271365331
-11.526,87.44999999999999,88.19379112645738
-11.526,89.5,89.73077875170088
