1#大烟道负压,CO浓度_mg_m3
-13.898,3513.455
-13.883,3532.625
-13.883,3486.69
-13.899,3540.22
-13.917,3574.942
-13.936,3505.498
-13.948,3615.451
-13.943,3658.493
-13.955,3673.683
-13.959,3570.602
-13.962,3635.706
-13.956,3556.135
-13.948,3430.628
-13.775,3395.544
-13.782,3372.396
-13.789,3292.463
-13.789,3346.354
-13.789,3360.822
-13.787,3338.759
-13.764,3364.8
-14.026,3399.161
-14.049,3536.242
-14.079,3528.646
-14.082,3528.646
-14.08,3569.878
-14.079,3479.456
-14.073,3475.839
-14.057,3430.628
-14.053,3486.69
-14.047,3505.859
-14.042,3528.646
-14.068,3557.943
-14.053,3483.073
-14.057,3521.05
-14.094,3536.242
-14.072,3493.924
-14.081,3501.881
-14.086,3563.73
-14.092,3495.37
-14.086,3498.264
-14.067,3460.648
-14.072,3532.625
-14.068,3461.01
-14.072,3486.69
-14.08,3505.859
-14.092,3552.156
-14.096,3551.794
-14.117,3544.199
-14.131,3483.435
-13.853,3395.544
-13.855,3327.546
-13.833,3284.867
-13.839,3312.355
-13.837,3326.823
-13.846,3411.097
-13.874,3423.033
-13.888,3509.838
-13.88,3498.264
-13.897,3461.01
-13.883,3509.115
-13.869,3501.881
-13.874,3532.625
-13.883,3598.09
-13.89,3567.347
-13.921,3559.751
-13.929,3552.156
-13.94,3486.69
-13.948,3517.433
-13.963,3544.199
-13.94,3551.794
-13.902,3525.029
-14.24,3654.152
-14.228,3963.397
-14.213,3917.463
-14.503,3886.719
-14.479,3871.166
-14.891,3925.058
-14.591,3830.295
-14.304,3776.403
-14.268,3594.473
-14.26,3592.303
-14.252,3559.751
-14.263,3616.175
-14.239,3653.791
-14.275,3733.724
-14.26,3855.975
-14.274,3646.919
-14.273,3761.213
-14.258,3753.617
-14.259,3756.872
-14.249,3803.53
-14.251,3944.589
-14.251,3977.141
-14.256,3944.227
-14.268,3961.95
-14.861,3932.653
-15.115,3951.823
-15.124,4015.842
-15.416,4169.56
-15.403,4202.835
-15.46,4156.901
-15.687,4153.646
-15.695,4190.9
-15.677,4187.645
-15.675,4198.857
-15.668,4180.049
-14.965,4191.985
-14.355,4145.689
-14.291,3882.74
-14.27,3666.088
-14.286,3486.69
-14.288,3372.396
-14.279,3242.549
-14.271,3197.338
-14.263,3219.763
-14.258,3223.38
-14.435,3269.314
-14.436,3292.463
-14.425,3342.737
-14.386,3376.013
-14.282,3418.692
-14.336,3376.013
-14.359,3464.989
-14.388,3490.669
-12.425,3449.074
-13.978,3197.338
-14.172,3044.705
-14.145,3379.992
-14.112,3509.838
-14.089,3418.692
-14.073,3418.692
-14.052,3497.902
-14.051,3563.73
-14.091,3600.622
-14.098,3608.941
-14.045,3548.177
-14.075,3532.263
-14.074,3509.115
-14.052,3402.778
-14.044,3338.759
-14.036,3349.971
-14.025,3429.905
-14.023,3525.029
-14.023,3594.112
-14.034,3567.347
-14.047,3551.794
-14.057,3505.859
-14.059,3441.117
-14.064,3395.544
-14.055,3357.205
-14.074,3260.995
-13.8,3235.315
-13.803,3150.318
-13.813,3204.21
-13.804,3154.297
-13.804,3187.572
-13.817,3205.295
-13.819,3269.314
-13.835,3335.142
-13.834,3383.608
-13.843,3407.118
-13.864,3441.479
-13.856,3458.117
-13.905,3493.924
-13.904,3464.989
-13.83,3414.713
-13.63,3544.199
-13.635,3631.004
-14.244,3612.196
-14.239,3615.451
-14.243,3658.493
-14.23,1148.727
-14.219,3154.297
-14.204,3737.341
-14.2,3833.912
-14.198,3825.955
-14.202,3787.977
-14.198,3807.509
-14.192,3740.596
-14.181,3775.318
-14.158,3806.424
-14.155,3799.913
-14.147,3818.721
-14.16,3882.378
-14.165,3984.737
-14.166,4026.693
-14.149,3988.715
-14.153,3901.186
-14.147,3947.483
-14.125,3951.461
-14.312,4023.076
-14.486,4106.988
-14.48,4213.325
-14.508,4210.069
-14.553,4248.047
-14.59,4110.605
-14.573,3814.019
-14.568,3604.963
-14.568,3658.493
-14.57,3874.06
-14.583,3916.739
-14.593,3973.524
-14.6,3931.93
-14.559,3989.077
-14.609,3940.611
-14.6,4000.651
-14.593,4003.906
-14.437,3962.312
-14.071,3882.378
-14.068,3748.553
-14.055,3669.343
-13.515,3617.622
-13.515,3627.025
-13.646,3532.263
-13.664,3619.43
-13.675,3836.805
-13.713,4023.076
-13.635,4007.885
-13.623,3961.588
-13.684,4046.224
-13.68,3881.655
-13.668,3752.532
-13.609,3882.74
-13.604,4046.224
-13.693,4077.329
-13.71,3969.908
-14.005,3921.441
-14.047,4007.162
-14.034,4042.245
-14.245,4207.176
-14.251,4244.43
-14.235,4255.281
-14.236,4202.835
-14.717,4106.626
-14.709,4007.885
-14.713,4015.842
-14.714,4042.607
-14.744,4019.821
-14.759,4004.268
-14.762,4000.651
-14.762,3943.866
-14.762,3894.314
-14.733,3829.21
-14.697,3890.335
-14.694,3870.443
-14.413,3981.12
-14.408,3977.503
