负压_kPa,实际温度_°C,预测温度_°C
-16.133,424.95,460.8876691491476
-16.112,384.2,458.9295788024819
-16.09,324.5,460.4829286970047
-16.031,349.25,461.3172301389562
-16.005,339.20000000000005,459.033084064801
-15.795,460.05,476.98726939396096
-15.681,395.0,465.3184561750666
-15.63,366.7,464.35501306341746
-15.216,405.4,462.9282797138564
-15.077,383.85,457.70827416989033
-14.862,493.8,487.85930898007393
-14.562,495.65,492.54768232138474
-14.556,516.65,513.6421640898235
-14.554,526.9000000000001,525.7076597498154
-14.551,517.2,515.6524996249013
-14.542,489.15,481.9081792200348
-14.535,523.85,519.7201825303972
-14.532,512.05,506.6663201792804
-14.508,517.5,511.5347402656463
-14.506,524.3,529.9976652187985
-14.498,524.9,520.6555046411654
-14.495,512.55,512.9406264071857
-14.495,527.5,527.3112091238581
-14.478,526.8,533.551512164114
-14.468,530.45,533.501614168034
-14.468,521.3,524.0824043549087
-14.46,516.7,509.4261565546041
-14.455,522.05,527.8044136758667
-14.452,520.45,519.1881629528979
-14.449,526.35,529.1793716182506
-14.448,527.65,534.0011287360093
-14.442,523.45,524.2582691279592
-14.423,500.0,502.3015343700591
-14.422,511.95,518.0027121358471
-14.421,527.0,530.7832048146005
-14.418,522.2,510.94683442003526
-14.41,517.1,510.59487058300044
-14.393,525.6500000000001,525.9083696971643
-14.384,500.65,496.8253424625356
-14.373,511.7,514.157705275157
-14.37,488.55,488.46980184386126
-14.364,455.65,461.19634563797086
-14.361,504.54999999999995,496.5263733041874
-14.344,525.8,522.1517477054657
-14.34,503.85,504.241017532441
-14.335,492.54999999999995,484.0434124632826
-14.332,523.2,526.1437646645137
-14.326,507.85,499.976438160366
-14.326,509.04999999999995,505.99110005052165
-14.318,515.95,517.9353884315656
-14.313,471.3,468.68982268428607
-14.309,482.0,479.260827805648
-14.307,506.6,505.1192475591325
-14.306,453.15,468.15341777724126
-14.306,496.7,493.38398526636314
-14.298,513.25,498.61550536800087
-14.298,486.65,483.085012688953
-14.291,527.95,533.4257628803018
-14.288,518.75,524.2597343391187
-14.287,516.6,519.4835139701537
-14.28,513.4,503.3184669085371
-14.276,512.7,511.6332614132177
-14.276,527.55,528.8720252154687
-14.276,437.0,465.14405420310345
-14.273,525.2,522.9711395486312
-14.271,510.95,498.03920212601327
-14.271,535.75,534.2982835146541
-14.27,505.25,504.7276771940948
-14.27,489.6,480.7002283156022
-14.268,524.4,529.9802880901262
-14.261,509.1,499.26104063237443
-14.259,520.1,519.0275104632447
-14.257,508.75,494.5119383396866
-14.249,516.45,511.27146754848593
-14.245,494.45000000000005,501.13489811789873
-14.223,546.5999999999999,534.6612418363309
-14.221,529.8,524.004948721721
-14.217,516.85,517.7321189101287
-14.213,437.75,462.2411172675046
-14.2,540.15,538.6716798136331
-14.196,528.75,529.7096523377976
-14.187,519.1,520.5472758059185
-14.184,526.3,527.9527411830412
-14.183,529.4000000000001,523.2602353517765
-14.183,525.75,517.7751290299381
-14.183,521.65,519.0337038063811
-14.182,510.0,505.1317451329014
-14.179,516.25,504.5443898705198
-14.168,533.45,532.6435852277159
-14.166,518.6,512.8964325661424
-14.16,509.95000000000005,502.7294627609094
-14.16,541.15,534.9789921153111
-14.154,513.75,511.38504065321257
-14.152,534.55,537.9927084522424
-14.151,513.6,506.3322763511043
-14.146,505.65,502.1919234694849
-14.146,511.95000000000005,503.701203633192
-14.145,515.15,505.870747461332
-14.145,501.35,495.70748770093155
-14.138,520.6,517.0972605181191
-14.134,511.15,502.27486484532136
-14.131,537.05,536.3156530517413
-14.13,502.6,496.6207747978612
-14.13,505.65,495.97936023797644
-14.126,502.5,490.36634179581745
-14.126,518.8,529.2959031322357
-14.121,519.45,522.852178975237
-14.121,509.20000000000005,500.6187090441808
-14.119,527.65,519.7908036462628
-14.118,504.05,495.1847090337853
-14.116,521.8499999999999,519.2477425636367
-14.114,502.55,488.4555453855409
-14.112,511.0,501.74602298106623
-14.111,525.8,526.701458553144
-14.111,540.6500000000001,536.2262353064248
-14.105,524.15,512.9288047819149
-14.105,499.55,497.4795355708938
-14.1,521.2,521.9524266789759
-14.096,545.95,550.1809942345784
-14.091,480.65,480.496329598991
-14.085,507.29999999999995,501.07818089466963
-14.077,545.0999999999999,548.9098135810654
-14.063,538.4,534.6417818589216
-14.058,530.3,528.5250423196504
-14.055,511.55,510.07838372324755
-14.054,502.85,504.5738074608452
-14.054,484.75,487.54238666334766
-14.053,502.2,495.7289990670161
-14.053,520.4000000000001,510.97734385834474
-14.051,475.1,479.4084519737386
-14.05,515.95,509.49303338173934
-14.047,525.4000000000001,532.7065424621438
-14.044,515.1,510.16465073288265
-14.043,518.05,520.0739853507783
-14.043,502.29999999999995,499.3807881857815
-14.041,523.0999999999999,515.1008578428741
-14.04,546.4,551.2152863914812
-14.039,490.20000000000005,482.7946729932252
-14.036,480.79999999999995,481.3510510328912
-14.036,502.8,491.7701815171357
-14.032,491.85,488.4657750386773
-14.03,526.3499999999999,522.0765210020187
-14.03,502.1,493.8297047856684
-14.03,528.6,526.9352233130069
-14.028,488.8,482.7899451478186
-14.025,500.55,497.5820452152534
-14.025,526.5,527.9615067704093
-14.025,524.0,517.8553719655632
-14.025,527.1,523.4254746707666
-14.024,528.05,524.8205669753069
-14.021,519.4000000000001,521.9825558604362
-14.016,527.3,525.5160662559764
-14.015,506.84999999999997,507.09335999973763
-14.014,516.85,512.0596185281807
-14.014,530.6,527.6577954589635
-14.006,486.4,482.31147080339093
-14.0,523.05,520.4559182150532
-14.0,497.9,488.0419304552316
-13.999,495.55,494.3900978947971
-13.997,491.29999999999995,485.9784462347059
-13.997,492.4,493.2554299387982
-13.995,528.2,530.8572629547666
-13.994,511.05,509.25696026111495
-13.988,511.4,508.7202074638949
-13.988,541.8,534.3590287837167
-13.987,491.20000000000005,486.6289940424126
-13.984,525.9,516.6946107519294
-13.983,522.55,525.5155923029857
-13.981,494.05,487.0014542818413
-13.98,517.0,516.208705859479
-13.977,484.4,483.4008171077577
-13.973,526.55,526.9117051315221
-13.972,527.5,528.9581972272954
-13.969,537.7,535.3902566552282
-13.968,517.0,511.559777199367
-13.968,514.6500000000001,513.6852012611399
-13.968,547.3,552.9115399851094
-13.968,490.2,482.46163078371006
-13.966,530.5999999999999,529.4254497972424
-13.965,526.3499999999999,514.8147599305032
-13.964,528.0999999999999,521.1807164875559
-13.964,539.8499999999999,538.8829130646759
-13.962,520.6500000000001,516.6835462847464
-13.96,519.2,517.8093557254451
-13.96,533.3,531.6571615802328
-13.958,517.55,511.69003217145337
-13.958,475.3,479.5606666225671
-13.958,538.6500000000001,535.4904801758775
-13.958,528.15,527.0392084176657
-13.958,524.25,527.6527634551574
-13.958,522.75,512.6293655281244
-13.955,535.2,540.3827146095513
-13.954,530.25,530.2689148062123
-13.954,528.55,536.186683464346
-13.954,498.8,488.7300259312053
-13.951,534.55,539.3607737841982
-13.949,523.95,518.9352867067746
-13.946,530.3,533.5459983286784
-13.943,526.35,525.8171313368193
-13.942,531.9000000000001,526.6828907042661
-13.94,498.75,490.963886422557
-13.94,509.04999999999995,506.602517505875
-13.939,522.45,523.8361447091694
-13.939,463.7,491.05209197709235
-13.938,521.75,516.1056584367216
-13.938,544.05,536.229004096059
-13.936,502.79999999999995,489.16556521272355
-13.935,536.8,535.6105100427369
-13.935,521.55,513.8728599588221
-13.934,527.4,525.8408899837925
-13.934,523.3499999999999,515.9736416854938
-13.932,527.5,527.2016667402877
