18#风箱负压_kPa,预测CO浓度_mg_m3
-14.005,3535.240496925294
-13.88959595959596,3535.240496925294
-13.774191919191919,3535.240496925294
-13.65878787878788,3535.240496925294
-13.54338383838384,3535.240496925294
-13.427979797979798,3535.240496925294
-13.312575757575758,3535.240496925294
-13.197171717171718,3535.240496925294
-13.081767676767678,3535.240496925294
-12.966363636363637,3535.240496925294
-12.850959595959596,3535.240496925294
-12.735555555555557,3535.240496925294
-12.620151515151516,3535.240496925294
-12.504747474747475,3535.240496925294
-12.389343434343434,3535.240496925294
-12.273939393939395,3535.240496925294
-12.158535353535354,3535.240496925294
-12.043131313131314,3534.25630437905
-11.927727272727273,3534.25630437905
-11.812323232323234,3534.25630437905
-11.696919191919193,3534.25630437905
-11.581515151515152,3534.2747802673407
-11.466111111111111,3531.166819820503
-11.35070707070707,3531.160876113906
-11.235303030303031,3530.3801638980062
-11.11989898989899,3530.289752101777
-11.00449494949495,3530.289752101777
-10.88909090909091,3530.310503486603
-10.77368686868687,3530.310503486603
-10.658282828282829,3530.310503486603
-10.542878787878788,3530.310503486603
-10.427474747474747,3530.310503486603
-10.312070707070708,3530.310503486603
-10.196666666666667,3530.310503486603
-10.081262626262626,3530.310503486603
-9.965858585858587,3530.310503486603
-9.850454545454546,3530.3128993815753
-9.735050505050506,3530.3128993815753
-9.619646464646465,3530.3128993815753
-9.504242424242424,3530.3128993815753
-9.388838383838383,3530.3128993815753
-9.273434343434344,3530.3128993815753
-9.158030303030303,3530.3128993815753
-9.042626262626264,3530.3128993815753
-8.927222222222223,3530.3128993815753
-8.811818181818182,3530.3128993815753
-8.696414141414142,3530.3128993815753
-8.5810101010101,3530.3128993815753
-8.46560606060606,3530.3128993815753
-8.35020202020202,3530.3128993815753
-8.23479797979798,3530.3128993815753
-8.119393939393941,3530.3128993815753
-8.0039898989899,3530.3146014980675
-7.888585858585859,3530.3146014980675
-7.773181818181818,3530.3146014980675
-7.6577777777777785,3530.3146014980675
-7.542373737373738,3530.3146014980675
-7.426969696969698,3530.3146014980675
-7.311565656565657,3530.3146014980675
-7.196161616161617,3530.3146014980675
-7.080757575757576,3530.3146014980675
-6.965353535353536,3530.3146014980675
-6.849949494949495,3530.3146014980675
-6.734545454545455,3530.3146014980675
-6.619141414141414,3530.3146014980675
-6.503737373737374,3530.3152348162876
-6.388333333333334,3530.3152348162876
-6.272929292929293,3530.3152348162876
-6.157525252525253,3530.3152348162876
-6.042121212121212,3530.3152348162876
-5.926717171717172,3530.3152348162876
-5.811313131313131,3530.3154418625395
-5.69590909090909,3530.3154418625395
-5.580505050505051,3530.3154418625395
-5.4651010101010105,3530.3154418625395
-5.34969696969697,3530.3149837633546
-5.234292929292929,3529.783337054996
-5.11888888888889,3529.0342951016014
-5.003484848484849,3528.7163674011254
-4.888080808080808,3528.540630640882
-4.772676767676767,3527.6093255442147
-4.657272727272728,3527.5691332542087
-4.541868686868687,3535.754767524378
-4.426464646464646,3532.139377270592
-4.311060606060606,3546.7314447789795
-4.1956565656565665,3546.5864430401775
-4.080252525252526,3546.5864430401775
-3.964848484848485,3546.5864430401775
-3.849444444444444,3546.5864430401775
-3.734040404040405,3546.5864430401775
-3.618636363636364,3546.5864430401775
-3.5032323232323233,3546.5864430401775
-3.3878282828282824,3546.5864430401775
-3.2724242424242433,3546.5864430401775
-3.1570202020202025,3546.5864430401775
-3.0416161616161617,3546.5864430401775
-2.926212121212121,3546.5864430401775
-2.81080808080808,3546.5864430401775
-2.695404040404041,3546.5864430401775
-2.58,3546.5864430401775
