18#风箱温度,CO浓度_mg_m3
495.3,3513.455
491.4,3532.625
490.0,3486.69
497.54999999999995,3540.22
492.75,3574.942
488.8,3505.498
490.85,3615.451
498.75,3658.493
488.1,3673.683
486.9,3570.602
496.29999999999995,3635.706
495.5,3556.135
494.4,3430.628
492.65,3395.544
489.70000000000005,3372.396
485.54999999999995,3292.463
482.75,3346.354
482.65,3360.822
480.04999999999995,3338.759
483.79999999999995,3364.8
492.05,3399.161
494.0,3536.242
486.95000000000005,3528.646
481.6,3528.646
478.55,3569.878
482.6,3479.456
485.75,3475.839
483.54999999999995,3430.628
483.4,3486.69
483.35,3505.859
487.55,3528.646
484.95,3557.943
486.65,3483.073
492.35,3521.05
490.75,3536.242
488.4,3493.924
492.04999999999995,3501.881
492.45,3563.73
489.5,3495.37
484.5,3498.264
480.7,3460.648
483.54999999999995,3532.625
483.3,3461.01
482.2,3486.69
482.15,3505.859
485.04999999999995,3552.156
485.35,3551.794
488.3,3544.199
491.54999999999995,3483.435
489.75,3395.544
485.5,3327.546
480.65,3284.867
480.5,3312.355
481.6,3326.823
485.45,3411.097
488.85,3423.033
483.9,3509.838
483.15,3498.264
485.75,3461.01
479.05,3509.115
470.9,3501.881
473.75,3532.625
480.35,3598.09
483.45,3567.347
480.25,3559.751
480.2,3552.156
472.6,3486.69
471.15,3517.433
467.0,3544.199
464.0,3551.794
463.55,3525.029
469.4,3654.152
474.70000000000005,3963.397
475.75,3917.463
477.5,3886.719
473.65,3871.166
468.35,3925.058
461.4,3830.295
457.5,3776.403
459.9,3594.473
466.75,3592.303
472.04999999999995,3559.751
469.45,3616.175
470.9,3653.791
476.7,3733.724
475.2,3855.975
464.7,3646.919
472.85,3761.213
477.6,3753.617
475.70000000000005,3756.872
471.85,3803.53
472.95000000000005,3944.589
481.15,3977.141
480.9,3944.227
479.29999999999995,3961.95
470.20000000000005,3932.653
460.4,3951.823
446.79999999999995,4015.842
449.20000000000005,4169.56
453.15,4202.835
451.20000000000005,4156.901
445.35,4153.646
441.85,4190.9
433.6,4187.645
439.7,4198.857
448.45000000000005,4180.049
456.4,4191.985
467.1,4145.689
474.0,3882.74
475.4,3666.088
475.25,3486.69
466.29999999999995,3372.396
464.85,3242.549
470.65,3197.338
473.75,3219.763
476.29999999999995,3223.38
479.1,3269.314
474.95,3292.463
477.20000000000005,3342.737
480.6,3376.013
476.65,3418.692
469.65,3376.013
469.8,3464.989
479.15,3490.669
488.4,3449.074
477.15,3197.338
476.1,3044.705
