18#风箱负压,CO浓度_mg_m3
-11.229,3513.455
-11.274,3532.625
-11.248,3486.69
-5.14,3540.22
-4.805,3574.942
-4.782,3505.498
-11.226,3615.451
-5.771,3658.493
-5.725,3673.683
-10.9,3570.602
-10.902,3635.706
-11.177,3556.135
-11.158,3430.628
-11.116,3395.544
-5.857,3372.396
-5.437,3292.463
-5.391,3346.354
-5.507,3360.822
-5.278,3338.759
-11.278,3364.8
-11.296,3399.161
-6.471,3536.242
-6.702,3528.646
-11.461,3528.646
-11.476,3569.878
-11.398,3479.456
-11.471,3475.839
-11.396,3430.628
-11.404,3486.69
-11.399,3505.859
-11.105,3528.646
-5.449,3557.943
-9.891,3483.073
-9.881,3521.05
-5.44,3536.242
-10.866,3493.924
-10.758,3501.881
-10.696,3563.73
-5.814,3495.37
-11.269,3498.264
-11.284,3460.648
-11.259,3532.625
-11.274,3461.01
-11.243,3486.69
-11.316,3505.859
-11.356,3552.156
-11.277,3551.794
-11.05,3544.199
-11.155,3483.435
-11.132,3395.544
-11.127,3327.546
-11.324,3284.867
-11.315,3312.355
-11.303,3326.823
-10.883,3411.097
-5.822,3423.033
-6.553,3509.838
-11.132,3498.264
-11.236,3461.01
-11.412,3509.115
-11.419,3501.881
-11.334,3532.625
-11.29,3598.09
-10.877,3567.347
-11.044,3559.751
-11.259,3552.156
-11.368,3486.69
-11.382,3517.433
-11.411,3544.199
-11.454,3551.794
-11.647,3525.029
-11.378,3654.152
-11.491,3963.397
-11.505,3917.463
-11.518,3886.719
-11.579,3871.166
-11.589,3925.058
-11.612,3830.295
-11.609,3776.403
-11.584,3594.473
-11.548,3592.303
-10.107,3559.751
-6.162,3616.175
-11.299,3653.791
-5.625,3733.724
-11.049,3855.975
-11.143,3646.919
-11.392,3761.213
-11.527,3753.617
-11.507,3756.872
-11.43,3803.53
-11.412,3944.589
-11.412,3977.141
-11.451,3944.227
-11.448,3961.95
-11.556,3932.653
-11.58,3951.823
-11.621,4015.842
-11.621,4169.56
-11.685,4202.835
-11.703,4156.901
-11.703,4153.646
-11.771,4190.9
-11.7,4187.645
-11.771,4198.857
-11.741,4180.049
-11.637,4191.985
-11.603,4145.689
-11.582,3882.74
-11.608,3666.088
-11.66,3486.69
-11.603,3372.396
-11.569,3242.549
-11.627,3197.338
-11.533,3219.763
-11.518,3223.38
-11.345,3269.314
-11.409,3292.463
-11.15,3342.737
-6.154,3376.013
-6.278,3418.692
-6.635,3376.013
-6.512,3464.989
-11.393,3490.669
-10.891,3449.074
-9.795,3197.338
-11.284,3044.705
-11.248,3379.992
-11.275,3509.838
-11.263,3418.692
-11.214,3418.692
-11.183,3497.902
-11.213,3563.73
-5.526,3600.622
-6.467,3608.941
-11.221,3548.177
-11.228,3532.263
-11.245,3509.115
-11.202,3402.778
-11.179,3338.759
-11.183,3349.971
-11.254,3429.905
-11.249,3525.029
-11.125,3594.112
-11.011,3567.347
-11.077,3551.794
-11.155,3505.859
-11.244,3441.117
-11.196,3395.544
-11.15,3357.205
-6.591,3260.995
-6.346,3235.315
-7.024,3150.318
-6.886,3204.21
-6.497,3154.297
-6.783,3187.572
-6.892,3205.295
-6.765,3269.314
-7.469,3335.142
-7.897,3383.608
-7.903,3407.118
-7.631,3441.479
-11.251,3458.117
-11.245,3493.924
-11.261,3464.989
-11.28,3414.713
-11.281,3544.199
-11.293,3631.004
-11.341,3612.196
-11.35,3615.451
-11.301,3658.493
-11.333,1148.727
-11.364,3154.297
-11.326,3737.341
-11.326,3833.912
-11.311,3825.955
-11.343,3787.977
-11.352,3807.509
-11.314,3740.596
-11.27,3775.318
-11.194,3806.424
-11.191,3799.913
-11.243,3818.721
-10.985,3882.378
-11.024,3984.737
-10.835,4026.693
-10.777,3988.715
-10.76,3901.186
-10.701,3947.483
-10.645,3951.461
-11.101,4023.076
-11.221,4106.988
-11.269,4213.325
-11.273,4210.069
-10.992,4248.047
-10.852,4110.605
-10.979,3814.019
-10.944,3604.963
-10.903,3658.493
-10.84,3874.06
-10.625,3916.739
-10.652,3973.524
-11.09,3931.93
-11.138,3989.077
-11.11,3940.611
-11.116,4000.651
-11.165,4003.906
-11.026,3962.312
-11.051,3882.378
-11.125,3748.553
-10.788,3669.343
-10.701,3617.622
-10.657,3627.025
-10.766,3532.263
-10.346,3619.43
-10.08,3836.805
-9.941,4023.076
-10.792,4007.885
-10.839,3961.588
-4.602,4046.224
-6.707,3881.655
-6.453,3752.532
-10.919,3882.74
-10.963,4046.224
-10.116,4077.329
-10.114,3969.908
-10.065,3921.441
-10.487,4007.162
-10.853,4042.245
-10.948,4207.176
-10.918,4244.43
-10.956,4255.281
-11.028,4202.835
-11.097,4106.626
-11.105,4007.885
-11.022,4015.842
-11.131,4042.607
-11.084,4019.821
-11.163,4004.268
-11.232,4000.651
-11.273,3943.866
-11.281,3894.314
-11.23,3829.21
-11.251,3890.335
-11.345,3870.443
-11.191,3981.12
-11.114,3977.503
-10.94,3921.441
-6.583,3882.378
-6.447,3756.149
-9.704,3662.471
-10.035,3703.704
-6.115,3669.343
-4.64,3631.004
-4.638,3471.499
-5.292,3411.097
-5.384,3479.456
-11.131,3544.56
-5.056,3685.619
-5.358,3821.615
-5.852,3790.148
-8.866,3874.783
-11.213,3951.823
-11.211,4007.885
-11.202,3973.524
-11.184,3936.632
-6.68,3851.273
-6.156,3774.957
-6.147,3600.622
-5.972,3483.073
-6.044,3468.605
-5.403,3441.479
-5.43,3445.819
-5.228,3479.456
-5.238,3445.457
-5.526,3445.457
-5.654,3464.265
-6.243,3567.347
-5.065,3643.302
-5.163,3634.983
-5.774,3631.366
-11.154,3734.447
-10.94,3829.933
-6.003,3952.546
-5.071,3783.999
-4.739,3696.832
-4.897,3544.199
-4.593,3524.305
-4.374,3627.387
-4.529,3693.215
-4.624,3719.618
-5.117,3685.619
-5.414,3670.067
-5.048,3619.792
-4.961,3642.94
-4.64,3658.493
-4.7,3597.367
-4.819,4019.821
-4.753,4027.416
-5.127,3955.802
-5.075,3791.594
-7.822,3674.407
-8.252,3639.323
-6.867,3742.043
-6.74,3719.618
-5.16,3654.876
-5.509,3563.73
-10.711,3540.22
-9.45,3589.772
-9.465,3677.662
-9.109,3623.77
-8.964,3597.367
-8.768,3544.199
-9.896,3559.751
-10.862,3578.559
-10.664,3509.838
-10.603,3483.073
-9.214,3411.097
-8.98,3315.611
-8.899,3220.486
-8.399,3238.571
-8.352,3262.442
-8.261,3193.721
-8.226,3231.699
-8.461,3250.145
-9.967,3288.846
-9.111,3323.568
-9.331,3383.608
-10.457,3289.207
-10.46,3276.91
-10.66,3269.314
-10.469,3292.101
-9.017,3265.335
-9.038,3346.354
-9.099,3364.8
-9.143,3420.862
-9.118,3475.839
-8.79,3453.415
-8.725,3441.84
-8.885,3456.308
-10.683,3364.8
-9.701,3327.546
-8.68,3399.161
-8.429,3315.972
-7.884,3227.72
-7.128,3216.146
-7.34,3246.528
-7.312,3261.719
-7.285,3350.333
-7.558,3372.757
-8.171,3372.396
-8.011,3449.074
-7.871,3403.139
-9.066,3327.546
-9.08,3269.314
-7.649,3292.101
-7.425,3209.274
-7.621,3224.103
-7.665,3246.528
-7.698,3368.417
-7.905,3368.055
-8.682,3391.204
-9.802,3445.819
-9.861,3493.924
-9.099,3483.073
-9.208,3464.989
-8.852,3430.628
-8.832,3449.074
-7.03,3472.584
-8.369,3391.204
-10.706,3331.163
-10.528,3288.484
-5.211,3238.571
-6.906,3151.042
-7.055,3197.338
-4.828,3342.737
-4.886,3335.142
-7.451,3418.692
-9.766,3475.839
-10.921,3548.177
-10.922,3475.839
-10.726,3418.692
-10.647,3453.415
-10.747,3395.182
-10.694,3341.291
-10.356,3308.015
-6.699,3231.699
-6.254,3197.7
-5.509,3296.079
-7.409,3379.992
-7.523,3464.265
-10.611,3439.67
-10.838,3399.161
-10.958,3296.441
-10.815,3197.338
-10.578,3200.955
-5.092,3101.852
-4.64,3123.915
-4.55,3166.233
-10.768,3234.592
-10.236,3347.078
-10.309,3395.544
-8.57,3426.649
-5.943,3501.519
-9.167,3619.792
-6.406,3544.922
-5.649,3582.537
-6.362,3532.625
-8.009,3486.69
-7.88,3414.713
-7.62,3272.931
-8.02,3254.123
-8.3,3266.059
-4.986,3273.655
-4.646,2679.037
-5.112,1848.958
-5.118,3117.043
-8.455,3228.082
-8.905,3205.295
-7.884,3250.145
-4.242,3232.06
-3.942,3181.785
-4.313,3116.681
-4.73,3224.465
-4.895,3350.333
-5.143,3315.972
-5.275,3327.546
-4.912,3257.74
-8.552,3209.274
-7.038,3166.233
-4.555,3253.038
-4.368,3097.873
-4.207,3166.233
-4.509,3193.359
-5.054,3197.338
-7.457,3224.465
-10.919,3197.7
-4.994,3284.867
-4.734,3254.123
-4.269,3209.635
-5.35,3220.486
-5.508,3265.335
-5.284,3335.142
-5.582,3216.869
-5.57,3186.126
-5.448,3191.912
-4.241,3257.74
-4.223,3330.802
-4.473,3342.737
-4.848,3376.013
-5.146,3372.396
-5.664,3361.183
-6.463,3338.759
-7.511,3383.608
-7.632,3453.053
-5.129,3407.118
-4.842,3380.353
-4.501,3300.419
-4.815,3308.015
-5.239,3277.995
-4.876,3335.142
-4.714,3387.949
-8.032,3461.01
-8.496,3594.112
-11.108,3696.832
-11.068,3642.94
-11.132,3601.346
-11.13,3551.794
-11.184,3563.73
-5.262,3525.029
-5.077,3399.523
-4.965,3315.972
-7.56,3414.713
-7.621,3475.839
-8.625,3666.088
-8.287,3905.527
-8.301,3673.683
-5.707,3611.834
-6.736,3429.905
-5.632,3379.992
-5.054,3364.8
-4.853,3391.204
-11.157,3505.859
-11.007,3741.681
-11.019,3855.975
-10.561,3855.614
-10.634,3783.637
-10.754,3776.403
-10.975,3841.146
-11.054,3833.55
-10.556,3901.91
-10.178,3814.019
-8.844,3768.808
-4.909,3844.401
-5.324,3841.146
-5.219,3799.19
-7.152,3798.828
-4.897,3871.166
-6.776,3966.291
-5.117,3969.908
-5.249,4084.563
-5.318,4111.328
-5.853,4121.817
-6.415,4141.348
-9.436,4137.37
-10.859,4015.48
-10.937,4073.713
-10.946,3996.311
-9.967,4034.288
-9.574,3966.291
-9.788,3893.591
-8.369,3943.866
-8.313,3958.695
-8.458,4046.947
-8.606,4061.777
-8.375,4098.307
-8.332,4054.543
-8.462,4054.543
-8.399,4080.584
-8.38,3988.715
-5.894,4008.247
-5.713,4023.438
-10.979,3919.994
-6.563,3901.186
-6.621,3833.55
-6.396,3775.318
-5.608,3719.618
-5.548,3628.111
-6.213,3582.176
-6.279,3558.304
-5.573,3547.815
-4.755,3574.942
-5.304,3571.325
-4.837,3494.285
-5.08,3547.815
-4.96,3578.921
-4.868,3571.325
-4.66,3505.498
-6.908,3490.669
-7.179,3528.646
-5.066,3525.029
-5.082,3464.989
-5.433,3426.287
-5.707,3357.928
-6.082,3254.123
-8.495,3205.295
-7.259,3212.891
-4.721,3257.74
-4.513,3197.7
-4.211,3304.037
-5.167,3354.311
-6.907,3391.927
-11.048,3438.223
-6.298,3346.354
-6.736,3319.951
-6.14,3257.74
-5.825,3372.396
-5.516,3505.498
-5.788,3433.883
-5.862,3437.5
-5.876,3453.415
-8.606,3418.692
-5.372,3461.01
-5.448,3438.223
-5.658,3383.608
-6.194,3457.031
-9.387,3578.921
-9.117,3604.963
-7.114,3723.235
-4.801,3768.084
-7.766,3650.897
-11.091,3617.622
-11.224,3631.004
-11.166,3708.044
-10.959,3704.789
-9.774,3707.682
-9.971,3627.387
