负压_kPa,实际温度_°C,预测温度_°C
-12.901,151.15,144.13654545821169
-12.823,97.25,111.09672449759165
-12.402,132.05,131.58977868930288
-12.367,128.6,130.45653741506084
-11.981,111.4,114.81667473554243
-11.705,135.0,133.46967276894017
-11.696,135.75,133.58203749386456
-11.696,125.94999999999999,125.55724748354012
-11.692,126.7,125.39354100431004
-11.684,136.85,133.64559530899717
-11.682,130.75,129.9648932357501
-11.682,126.6,125.71428383744377
-11.672,125.55,124.90208615981649
-11.663,130.35,130.76133377547478
-11.663,133.2,131.54563880331992
-11.662,136.5,131.78305744262164
-11.659,139.2,135.54680413246683
-11.658,97.6,112.16571305473744
-11.658,118.6,116.69947378804872
-11.658,133.05,132.63729069465225
-11.656,112.6,114.46685627675669
-11.655,116.3,115.03581452420298
-11.655,130.7,131.32663966349023
-11.655,115.45,116.4002446818278
-11.653,131.35,129.33302601863664
-11.653,133.60000000000002,133.79093471066867
-11.652,126.39999999999999,123.35143682617999
-11.649,98.4,111.39160878603381
-11.648,133.05,130.96484047398107
-11.648,132.45,132.98864972264084
-11.646,108.19999999999999,111.49474237851962
-11.645,133.55,131.49590597244838
-11.645,127.55,125.50652737802805
-11.644,134.8,132.33470388383543
-11.64,131.85,131.38392724079125
-11.64,114.1,114.40290443179734
-11.64,102.55,112.23889046973918
-11.64,107.0,112.50947601816816
-11.637,130.85,131.8130706858147
-11.636,128.55,127.92955282448501
-11.636,101.8,112.38307633272625
-11.635,96.7,111.5712515671029
-11.631,142.1,135.14991369750283
-11.63,97.75,112.48568954836054
-11.63,121.65,122.13527757580407
-11.628,114.95,115.8894639394432
-11.627,137.9,133.33218983498526
-11.626,123.19999999999999,124.15020084813636
-11.626,117.5,121.23357940685297
-11.626,112.9,113.35621237546621
-11.626,121.5,119.90471046856938
-11.626,125.30000000000001,123.56369911799065
-11.626,126.8,125.50519926648724
-11.625,136.95,133.9082817957661
-11.623,99.05000000000001,111.82062881072962
-11.623,124.85000000000001,123.03066208249035
-11.623,137.55,135.78020416142405
-11.623,132.75,131.38504754749064
-11.623,121.05,121.4336359540119
-11.622,118.5,118.82923446643133
-11.622,147.85,139.03518599850892
-11.622,116.0,117.19794070244825
-11.621,115.0,116.02702816433384
-11.621,97.35,111.52651358098333
-11.619,103.1,112.44403434395107
-11.619,109.55,112.15839109193051
-11.618,139.4,133.78763521628045
-11.618,122.45,118.91288482592743
-11.617,99.19999999999999,111.47417070961467
-11.616,131.5,131.87172768185388
-11.615,96.9,111.40778782775459
-11.615,106.3,112.68411466427403
-11.614,98.1,111.26711595782973
-11.611,133.2,131.31619753885457
-11.611,154.0,148.9107197618852
-11.611,114.9,114.54948472535
-11.61,104.55000000000001,112.63327974227799
-11.61,133.85,131.61905352088445
-11.61,115.4,115.66870688459164
-11.61,103.75,112.43718781896615
-11.608,106.7,112.75273718151745
-11.608,123.8,123.652069433056
-11.608,114.8,115.0533197241441
-11.608,97.75,111.55022364801582
-11.607,128.75,129.08573637039171
-11.605,124.05,125.21481811791472
-11.605,117.5,118.03580133786993
-11.605,110.8,112.3142069148349
-11.604,133.5,131.23897991000567
-11.604,124.69999999999999,122.54206865742404
-11.603,114.44999999999999,114.44773542172408
-11.601,98.35,112.45158972081714
-11.601,108.1,112.11830738427939
-11.601,117.5,115.44951626060207
-11.6,132.6,130.6275622820204
-11.6,115.94999999999999,115.9012907780212
-11.6,118.44999999999999,118.28722929504757
-11.599,136.8,133.69000851717138
-11.599,136.25,131.47188594855183
-11.599,112.2,113.32353291872103
-11.599,116.4,116.24149914948815
-11.599,112.75,114.92912976490118
-11.599,133.8,133.48395554001212
-11.599,119.19999999999999,118.62551601248533
-11.598,129.6,127.84632401240445
-11.598,101.25,112.44207418205974
-11.597,106.69999999999999,112.3750298673259
-11.597,132.95,131.2750726634442
-11.597,117.45,115.19109145317593
-11.597,135.9,133.11899228351277
-11.597,111.35,113.21715987324102
-11.596,126.25,125.5008401854423
-11.595,143.9,138.372204564243
-11.595,136.60000000000002,131.82288239307553
-11.595,129.45,127.53590634621776
-11.593,97.8,112.49406441217943
-11.593,116.05,116.91367793251115
-11.593,122.35,121.03403017800682
-11.593,123.05000000000001,121.16171270616914
-11.592,134.5,132.44019079186594
-11.592,116.0,115.69563889649719
-11.592,107.45,111.67621638692405
-11.592,119.6,119.58211308787139
-11.592,105.4,112.64378514934376
-11.589,114.15,115.00042528134055
-11.589,111.44999999999999,111.81590821813282
-11.589,122.5,121.99369183229372
-11.589,133.6,132.10425133498237
-11.589,130.2,131.4584875200576
-11.589,99.6,111.52489976112324
-11.588,98.55,112.35039560835531
-11.585,98.05000000000001,111.76207538952349
-11.582,98.15,111.8232914855683
-11.582,123.05,120.75523223396401
-11.582,133.95,131.57000836997847
-11.582,131.15,131.94227903287901
-11.581,107.4,112.02422109929749
-11.581,144.3,138.0815574633568
-11.581,134.85,135.0853451779373
-11.581,98.30000000000001,111.81622284026416
-11.581,99.0,112.42594529622261
-11.58,99.94999999999999,111.5204217383673
-11.58,110.3,112.80969654308703
-11.58,116.80000000000001,115.50527869964982
-11.579,134.1,133.13472317333202
-11.579,135.75,134.13322269513952
-11.579,147.39999999999998,139.2574182473842
-11.579,145.65,137.36594759301568
-11.579,116.1,116.56930096862891
-11.579,116.5,115.14394577633648
-11.578,115.25,117.1757844058767
-11.578,128.9,126.52641817499618
-11.578,133.95,132.78816184098108
-11.577,119.05000000000001,119.65768255096964
-11.577,97.44999999999999,111.27607886646989
-11.577,118.35,118.55058199961972
-11.577,142.35,136.61697878097306
-11.575,106.45,112.1902051695413
-11.573,121.5,123.63113522456904
-11.573,116.1,117.16900730765607
-11.573,120.7,119.96098938293873
-11.573,125.44999999999999,122.05862986769479
-11.573,138.55,134.29431544944003
-11.573,117.55000000000001,117.23478142967332
-11.571,131.95,132.00895213896476
-11.571,142.5,133.98174717411976
-11.571,100.1,112.19482602241182
-11.571,119.85,120.8779209560698
-11.571,143.2,136.36497074693077
-11.571,126.45,130.51236351961393
-11.57,137.35,131.3045086387267
-11.57,101.30000000000001,111.23594806723356
-11.57,112.35,115.38761641335581
-11.57,116.0,116.64261306632764
-11.57,139.0,133.9340443213184
-11.57,134.05,134.29091587695123
-11.569,133.2,132.45665348200782
-11.569,129.7,130.70532254557827
-11.569,126.75,124.85068357652702
-11.569,116.65,117.09362747883252
-11.567,109.15,111.73856225282346
-11.567,133.5,131.57652022451487
-11.566,100.45,111.31169736816999
-11.566,112.65,114.69649638226852
-11.566,136.2,136.56683185081278
-11.566,126.69999999999999,126.8020768713515
-11.566,109.25,112.17137825635494
-11.565,116.15,115.28670147985422
-11.565,119.55000000000001,121.20622323826998
-11.565,119.05000000000001,118.86515129961758
-11.563,111.35,114.05310456000133
-11.562,121.9,120.74983386334549
-11.561,124.6,125.71387554530607
-11.561,109.8,111.11919098021707
-11.56,126.3,124.62974881951891
-11.56,111.5,114.01009813956833
-11.56,108.55000000000001,112.4717315542506
-11.56,108.8,112.69682758286635
-11.56,125.44999999999999,125.6156157429691
-11.559,108.85,111.81888777510288
-11.558,153.35,147.68644188203663
-11.558,133.65,132.07244667052095
-11.558,137.85,136.44889668688333
-11.556,113.35,112.73943729976094
-11.556,125.1,123.8896327740291
-11.556,122.25,123.0719222054667
-11.556,113.5,115.31265874263892
-11.555,120.89999999999999,120.0372349678434
-11.555,102.4,111.37277164205577
-11.554,126.5,125.62480213707016
-11.554,127.7,123.99528088087561
-11.554,122.10000000000001,121.1586544544576
-11.552,116.55,117.78914603560973
-11.551,107.45,111.94494830020925
-11.551,104.6,111.08205880451234
-11.549,121.75,121.96121976445198
-11.548,121.35000000000001,121.28019125555797
-11.548,119.65,118.26504373623479
-11.547,134.2,131.38361699468888
-11.547,145.3,136.32961795510545
-11.547,123.5,123.47150975880687
-11.547,124.5,128.73131995827507
-11.545,117.85,118.68185989736514
-11.545,122.25,123.23826907521638
-11.545,116.85,116.13176331486467
-11.545,119.85,119.38366253678367
-11.545,103.1,111.41991792733931
-11.545,116.6,117.03066694496984
-11.544,118.4,116.48001459024769
-11.544,142.95,134.1741957210325
