负压_kPa,实际温度_°C,预测温度_°C
-16.836,178.10000000000002,162.02257641116068
-16.814,157.6,165.43496353642072
-16.792,155.85,157.44760842914684
-16.783,145.3,147.21110648165725
-16.768,137.5,131.00635259239868
-16.511,114.0,131.32885678700447
-16.328,122.6,132.0461832838874
-16.266,184.39999999999998,175.8508958055705
-16.211,110.80000000000001,128.7203119133738
-15.763,113.05,131.1914995056628
-15.334,120.6,145.71641529709282
-15.321,164.75,183.0061352822333
-15.197,121.7,131.01654014786837
-15.189,124.30000000000001,130.82884399995908
-15.18,132.39999999999998,144.6377589274066
-15.179,131.75,132.67589553549044
-15.176,126.75,132.3113841273006
-15.164,130.75,135.50385610998856
-15.16,145.1,153.00245827201536
-15.15,145.05,147.55147498105447
-15.143,124.65,139.0151771168857
-15.14,128.65,136.38825336845838
-15.135,139.7,151.28518909388842
-15.134,124.6,129.19036467411505
-15.129,129.15,125.72408195704791
-15.128,156.2,155.7928975802119
-15.127,157.3,154.25332310041784
-15.12,152.5,150.2375472861125
-15.111,155.45,149.44041707761232
-15.104,141.05,148.94070651951665
-15.104,131.0,128.08460508151975
-15.101,133.95,138.8213080982386
-15.101,115.44999999999999,118.23415121475199
-15.098,159.15,156.83773218768894
-15.096,111.95,117.05708775265542
-15.096,126.15,121.04214272644994
-15.093,155.9,150.31178361750477
-15.092,130.2,129.40531257965048
-15.09,151.2,145.34862556850842
-15.072,148.55,143.38387691074743
-15.063,148.3,147.66716439169303
-14.988,230.3,240.7956457708962
-14.988,198.55,206.4608085964858
-14.987,125.75,129.72438169394883
-14.98,263.35,246.23900658845236
-14.977,132.05,130.95559576839813
-14.969,138.85,129.44781041048788
-14.965,124.35,129.47973931152862
-14.963,142.0,128.30748107108568
-14.95,128.8,124.65864246238147
-14.95,122.85,122.77700131528387
-14.947,135.25,147.2356828529063
-14.939,133.2,132.8246060235492
-14.931,129.05,125.28681568560376
-14.92,127.5,119.11939753708594
-14.902,160.15,158.122600308991
-14.886,184.2,167.8316744555935
-14.882,139.0,145.23728394084694
-14.88,156.6,147.65302190108102
-14.88,119.85,115.66496156106044
-14.874,135.9,139.22604231365864
-14.874,186.9,188.78973478108662
-14.86,110.8,112.3955719494077
-14.859,133.05,136.23605382883048
-14.857,112.75,114.06898420371738
-14.852,131.2,131.23653122897494
-14.852,121.89999999999999,128.54726428713943
-14.849,128.65,135.35848457679955
-14.846,115.45,113.95423346501694
-14.846,110.19999999999999,124.3535988543942
-14.846,185.75,185.24622925632522
-14.843,171.8,150.58180758363932
-14.839,159.5,150.0472556945901
-14.835,142.95,128.53883401993457
-14.834,106.95,113.77357483600059
-14.834,173.60000000000002,182.03693323579526
