负压_kPa,实际温度_°C,预测温度_°C
-16.941,97.05,94.59661075413538
-16.924,97.5,95.38162754501754
-16.905,98.1,96.07051845078487
-16.896,98.7,97.39183545417383
-16.874,98.8,96.35663682842862
-16.85,96.55,94.3789965631957
-16.832,99.35,97.58458343292976
-16.284,99.85,97.5965711575245
-16.127,99.45,97.94668975464037
-15.687,97.85,96.9876922918833
-15.67,99.8,98.03855844583694
-15.507,95.8,94.10308550415267
-15.428,99.4,97.60954763635337
-15.274,95.1,92.83856823772625
-15.265,100.25,99.81782733537975
-15.257,100.35,99.90966098423513
-15.239,95.3,92.99936622759257
-15.235,101.4,99.88559139705258
-15.235,95.05,93.56595004544288
-15.23,101.55,99.80273105022876
-15.22,101.65,99.84291004942345
-15.212,101.8,99.73676601552827
-15.212,94.2,93.78706095630427
-15.207,101.25,99.86394554146781
-15.205,101.6,99.75328613968684
-15.204,97.45,95.87694944410083
-15.198,96.9,95.56395211394661
-15.196,93.7,93.34314650289654
-15.196,93.05000000000001,91.78392629215426
-15.189,92.69999999999999,93.48770407362356
-15.184,96.44999999999999,95.58570688204293
-15.182,93.7,92.9290587272365
-15.181,93.35,93.34144442167553
-15.179,92.7,93.46729590139701
-15.177,93.4,93.36196768513553
-15.176,95.35,92.34935840930737
-15.172,96.4,95.13339744089276
-15.168,95.05000000000001,92.2841723841895
-15.158,96.25,94.50254604475755
-15.15,93.35,91.99781859973042
-15.146,94.35,93.13215211352163
-15.145,90.55000000000001,93.86309114103602
-15.14,101.2,99.82397091834325
-15.138,90.35,93.79306695714943
-15.107,90.8,93.79065876462273
-15.079,91.94999999999999,93.76427399652752
-15.078,97.2,96.03276429272549
-15.064,97.05,96.16092911387375
-15.055,96.05000000000001,95.20176154232459
-15.052,95.45,95.11890383146495
-15.045,98.25,96.39333589284902
-15.038,98.35,97.26546065301629
-15.035,97.55,96.12108389365027
-15.023,95.75,95.08776232649444
-14.997,100.0,99.824822467488
-14.996,96.6,96.08002683832447
-14.984,97.44999999999999,96.20570893014524
-14.975,99.6,99.84659443931176
-14.973,94.3,95.71907135157933
-14.966,100.95,99.82990214142677
-14.963,97.45,98.4416583478346
-14.958,99.1,98.98986256830455
-14.958,98.0,98.46560903751212
-14.951,100.45,99.9163474706046
-14.947,97.69999999999999,97.17832631402408
-14.947,98.94999999999999,98.5818389884766
-14.941,97.05,97.42085979321463
-14.934,93.25,90.919341311807
-14.932,99.0,95.6649027729516
-14.927,99.9,99.8442401253325
-14.925,98.75,95.06762878153273
-14.925,93.85,91.78499507265984
-14.924,93.94999999999999,92.94956898194192
-14.924,97.05000000000001,97.39270556674965
-14.922,93.0,90.9094825651603
-14.921,97.80000000000001,99.28459050804278
-14.921,98.05,99.73061011310648
-14.921,97.8,99.11243100516653
-14.918,92.7,91.31557956920672
-14.917,93.95,92.34764647748449
-14.917,93.4,91.35594751820855
-14.913,94.85,91.84318928121453
-14.912,99.3,99.90317062312475
-14.903,95.35,92.09054190245185
-14.903,94.2,92.65602861274431
-14.894,92.6,91.45980105906004
-14.891,93.95,92.9742848470827
-14.888,96.5,97.29437763510177
-14.887,97.9,100.17501352992076
-14.884,91.19999999999999,91.38299125963218
-14.884,91.9,91.50051781502641
-14.881,96.8,97.36217754326391
-14.874,95.94999999999999,96.70738496752128
-14.874,96.9,97.49605661854298
-14.874,93.4,92.83943926531178
-14.87,91.25,91.09124828149969
-14.866,97.1,97.81618911399197
-14.863,99.19999999999999,97.79098652885975
-14.845,97.19999999999999,96.4430151254546
-14.843,97.4,96.29345638186066
-14.831,98.0,97.3622030171524
-14.809,97.15,96.21741575969327
-14.804,98.30000000000001,98.01630187797916
-14.766,98.94999999999999,97.68293373191567
-14.765,94.75,96.49685247726286
-14.764,91.9,94.34038722102109
-14.764,95.7,97.15105272450877
-14.762,97.5,96.41683529565654
-14.761,97.85,96.22324293589345
-14.759,95.1,92.85052980783675
-14.759,93.3,95.46587027038875
-14.751,95.3,97.44687523469297
-14.75,97.8,96.03039587597927
-14.747,94.25,95.51289502567808
-14.747,97.25,96.08673629297645
-14.725,94.85,95.45786659336811
-14.716,100.3,98.95443982651844
-14.716,91.94999999999999,94.82890238087661
-14.706,96.75,95.86638926976924
-14.706,96.9,96.49963839945156
-14.705,95.65,95.85994764439988
-14.701,95.15,93.90002692859717
-14.697,96.65,95.56309206961575
-14.695,96.2,98.60634748981522
-14.695,95.35,99.10991735133997
-14.694,97.4,96.30556328079682
-14.692,95.6,93.86862166531087
-14.692,94.9,99.2399425693997
-14.672,97.1,96.06616758219661
-14.669,97.9,97.0664932167327
-14.668,92.45,93.7853349664218
-14.668,97.6,96.37424067827945
-14.668,89.75,93.48656914415857
-14.668,97.25,96.66108721721517
-14.667,99.7,100.10547312319584
-14.666,93.45,94.15664234771303
-14.664,95.44999999999999,95.27474738212625
-14.664,90.95,93.55012046880017
-14.664,96.8,97.04351846472912
-14.661,97.7,96.51839051688577
-14.661,96.9,96.86944554404616
-14.657,93.35,93.97697074612368
-14.657,99.65,99.78938355500259
-14.655,92.05,93.82781645342881
-14.655,91.6,93.58245014463908
-14.654,96.35,97.43263219329921
-14.654,98.3,98.0088797821249
-14.653,92.4,93.59122246083669
-14.653,95.25,93.280939350808
-14.651,97.95,97.49583974292317
-14.65,99.6,100.06852797936553
-14.65,95.3,94.15246584050612
-14.65,98.75,97.46845448641619
-14.644,100.05000000000001,100.06129263619383
-14.643,94.4,94.44049766635159
-14.642,94.45,95.21790260303578
-14.641,95.35,93.5071005071304
-14.641,98.05,100.09587125104231
-14.638,95.3,94.35347851826572
-14.638,99.35,97.8723173996413
-14.638,91.9,92.83859834395959
