负压_kPa,实际温度_°C,预测温度_°C
-14.005,484.04999999999995,477.6120656848662
-13.977,488.95,479.7894881587045
-13.972,488.0,477.2483378914688
-13.962,486.0,479.8681395026107
-13.962,486.65,478.82769132022713
-13.956,480.45,480.3788814669824
-13.948,488.55,483.02003001616293
-13.944,489.15,479.59387934791965
-13.943,481.85,477.7343505532287
-13.933,487.5,480.90434120983707
-13.931,481.4,475.9832251776914
-13.917,486.35,489.7342982437213
-13.912,494.85,483.0605349521725
-13.874,484.35,480.37994178529937
-13.864,493.6,489.8228824655887
-13.864,488.1,483.197750846838
-13.847,492.95000000000005,489.6185182929024
-13.825,493.75,483.4218545720422
-13.696,494.75,483.78826301651134
-13.662,489.3,482.03115424363205
-13.655,491.9,481.97629822407214
-13.651,495.35,492.4383162675031
-13.581,496.1,495.3351618225524
-13.575,485.2,483.71291768287057
-13.558,508.4,498.27106437992506
-13.549,500.54999999999995,494.7246518006176
-13.516,498.70000000000005,496.6475746183931
-13.457,505.4,494.9374764241884
-13.12,444.79999999999995,495.1551424301797
-12.333,468.75,475.0416391944295
-11.622,476.1,479.4146734535792
-11.61,461.54999999999995,460.16909802081665
-11.606,468.70000000000005,467.17736331516153
-11.603,467.6,468.75563169883696
-11.598,462.0,457.74419442067114
-11.595,459.7,466.45367928067924
-11.592,458.75,463.16862169768484
-11.592,452.05,470.78260552144883
-11.589,471.9,465.7510704676405
-11.589,453.9,458.25273219379284
-11.584,478.1,480.9607904719058
-11.584,471.9,476.0098920511197
-11.58,447.8,445.28538079977665
-11.577,461.5,450.9336464212239
-11.576,447.20000000000005,449.8478863169113
-11.576,477.0,479.0358050683844
-11.573,493.7,491.8818249377745
-11.572,454.0,449.8096755981024
-11.572,448.2,444.5188970699153
-11.57,475.79999999999995,479.8187280467395
-11.569,465.4,464.78709161613347
-11.569,465.9,467.89972174427896
-11.567,479.45,480.6662314843489
-11.566,476.6,477.8258049591502
-11.563,464.54999999999995,452.67771446608214
-11.561,476.85,480.1688751833331
-11.561,483.3,481.06865125690695
-11.56,469.4,477.46839522389496
-11.56,477.35,481.1521252189865
-11.559,461.5,457.0590606196578
-11.556,449.8,453.50461993216544
-11.553,448.55,446.5540597303374
-11.551,471.6,466.39266370586574
-11.551,479.0,481.56935343904644
-11.551,460.65,460.55271035348335
-11.547,481.85,482.2043371634819
-11.547,476.3,476.96938689934996
-11.547,450.5,459.21159797945
-11.546,461.35,456.8681390001124
-11.544,487.25,483.44402811095864
-11.542,436.65,438.4240849991178
-11.541,463.75,465.76775999060703
-11.541,449.3,448.35042435037036
-11.54,472.9,477.69990879533236
-11.539,474.9,474.57605448727014
-11.537,464.2,452.6523122094118
-11.536,474.35,479.9000274725443
-11.536,487.4,484.48475525077833
-11.536,468.4,470.3703590556463
-11.535,487.29999999999995,484.1592569436265
-11.535,476.54999999999995,477.93586320701115
