9#风箱负压,CO浓度_mg_m3
-13.836,3513.455
-13.825,3532.625
-13.826,3486.69
-13.817,3540.22
-13.877,3574.942
-13.892,3505.498
-13.855,3615.451
-13.931,3658.493
-13.932,3673.683
-13.914,3570.602
-13.93,3635.706
-13.931,3556.135
-13.923,3430.628
-13.746,3395.544
-13.779,3372.396
-13.758,3292.463
-13.76,3346.354
-13.764,3360.822
-13.757,3338.759
-13.732,3364.8
-14.01,3399.161
-14.025,3536.242
-14.041,3528.646
-14.044,3528.646
-14.071,3569.878
-14.063,3479.456
-14.059,3475.839
-14.025,3430.628
-14.029,3486.69
-14.006,3505.859
-13.992,3528.646
-14.041,3557.943
-14.011,3483.073
-14.018,3521.05
-14.067,3536.242
-14.03,3493.924
-14.046,3501.881
-14.044,3563.73
-14.058,3495.37
-14.063,3498.264
-14.025,3460.648
-14.01,3532.625
-14.01,3461.01
-14.014,3486.69
-14.034,3505.859
-14.056,3552.156
-14.044,3551.794
-14.056,3544.199
-14.089,3483.435
-13.794,3395.544
-13.802,3327.546
-13.784,3284.867
-13.793,3312.355
-13.784,3326.823
-13.8,3411.097
-13.853,3423.033
-13.851,3509.838
-13.854,3498.264
-13.838,3461.01
-13.831,3509.115
-13.821,3501.881
-13.82,3532.625
-13.821,3598.09
-13.843,3567.347
-13.875,3559.751
-13.875,3552.156
-13.881,3486.69
-13.89,3517.433
-13.927,3544.199
-13.892,3551.794
-13.534,3525.029
-14.125,3654.152
-14.113,3963.397
-14.091,3917.463
-14.368,3886.719
-14.453,3871.166
-14.834,3925.058
-14.816,3830.295
-14.237,3776.403
-14.207,3594.473
-14.188,3592.303
-14.166,3559.751
-14.199,3616.175
-14.166,3653.791
-14.169,3733.724
-14.222,3855.975
-14.199,3646.919
-14.206,3761.213
-14.193,3753.617
-14.176,3756.872
-14.18,3803.53
-14.167,3944.589
-14.17,3977.141
-14.176,3944.227
-14.189,3961.95
-14.752,3932.653
-15.035,3951.823
-15.007,4015.842
-15.292,4169.56
-15.27,4202.835
-15.289,4156.901
-15.536,4153.646
-15.538,4190.9
-15.523,4187.645
-15.523,4198.857
-15.519,4180.049
-14.915,4191.985
-14.449,4145.689
-14.182,3882.74
-14.147,3666.088
-14.157,3486.69
-14.163,3372.396
-14.151,3242.549
-14.133,3197.338
-14.119,3219.763
-14.106,3223.38
-14.232,3269.314
-14.227,3292.463
-14.211,3342.737
-14.218,3376.013
-14.041,3418.692
-14.219,3376.013
-14.237,3464.989
-14.289,3490.669
-12.68,3449.074
-13.887,3197.338
-14.102,3044.705
-14.063,3379.992
-14.025,3509.838
-14.011,3418.692
-13.996,3418.692
-13.949,3497.902
-13.976,3563.73
-14.044,3600.622
-14.051,3608.941
-13.962,3548.177
-13.97,3532.263
-13.985,3509.115
-13.96,3402.778
-13.947,3338.759
-13.931,3349.971
-13.931,3429.905
-13.927,3525.029
-13.931,3594.112
-13.932,3567.347
-13.965,3551.794
-13.972,3505.859
-13.967,3441.117
-13.981,3395.544
-13.98,3357.205
-14.006,3260.995
-13.734,3235.315
-13.726,3150.318
-13.727,3204.21
-13.724,3154.297
-13.734,3187.572
-13.732,3205.295
-13.742,3269.314
-13.758,3335.142
-13.767,3383.608
-13.775,3407.118
-13.8,3441.479
-13.79,3458.117
-13.851,3493.924
-13.836,3464.989
-13.843,3414.713
-13.575,3544.199
-13.589,3631.004
-14.189,3612.196
-14.197,3615.451
-14.188,3658.493
-14.18,1148.727
-14.169,3154.297
-14.156,3737.341
-14.139,3833.912
-14.141,3825.955
-14.157,3787.977
-14.157,3807.509
-14.136,3740.596
-14.134,3775.318
-14.129,3806.424
-14.11,3799.913
-14.108,3818.721
-14.121,3882.378
-14.138,3984.737
-14.155,4026.693
-14.129,3988.715
-14.129,3901.186
-14.117,3947.483
-14.089,3951.461
-14.069,4023.076
-14.438,4106.988
-14.428,4213.325
-14.43,4210.069
-14.535,4248.047
-14.55,4110.605
-14.535,3814.019
-14.525,3604.963
-14.536,3658.493
-14.535,3874.06
-14.551,3916.739
-14.562,3973.524
-14.557,3931.93
-14.525,3989.077
-14.551,3940.611
-14.566,4000.651
-14.553,4003.906
-14.564,3962.312
-14.026,3882.378
-14.04,3748.553
-14.006,3669.343
-13.473,3617.622
-13.489,3627.025
-13.493,3532.263
-13.527,3619.43
-13.53,3836.805
-13.571,4023.076
-13.589,4007.885
-13.487,3961.588
-13.515,4046.224
-13.556,3881.655
-13.54,3752.532
-13.451,3882.74
-13.467,4046.224
-13.557,4077.329
-13.579,3969.908
-13.657,3921.441
-13.931,4007.162
-13.879,4042.245
-14.119,4207.176
-14.114,4244.43
-14.1,4255.281
-14.09,4202.835
-14.594,4106.626
-14.561,4007.885
-14.563,4015.842
-14.561,4042.607
-14.589,4019.821
-14.603,4004.268
-14.62,4000.651
-14.626,3943.866
-14.606,3894.314
-14.581,3829.21
-14.55,3890.335
-14.551,3870.443
-14.283,3981.12
-14.257,3977.503
-14.294,3921.441
-14.355,3882.378
-14.357,3756.149
-14.273,3662.471
-14.248,3703.704
-14.333,3669.343
-14.062,3631.004
-14.051,3471.499
-14.046,3411.097
-14.035,3479.456
-13.949,3544.56
-14.028,3685.619
-14.032,3821.615
-14.022,3790.148
-14.054,3874.783
-14.053,3951.823
-14.06,4007.885
-14.063,3973.524
-14.044,3936.632
-14.063,3851.273
-14.143,3774.957
-13.854,3600.622
-13.883,3483.073
-13.875,3468.605
-13.869,3441.479
-13.855,3445.819
-13.877,3479.456
-13.862,3445.457
-13.827,3445.457
-13.816,3464.265
-13.754,3567.347
-13.808,3643.302
-13.798,3634.983
-13.798,3631.366
-13.687,3734.447
-13.691,3829.933
-13.694,3952.546
-13.71,3783.999
-13.791,3696.832
-13.779,3544.199
-13.77,3524.305
-13.783,3627.387
-13.805,3693.215
-13.793,3719.618
-13.797,3685.619
-13.813,3670.067
-13.771,3619.792
-13.777,3642.94
-13.683,3658.493
-13.313,3597.367
-13.753,4019.821
-13.723,4027.416
-13.717,3955.802
-13.727,3791.594
-13.717,3674.407
-13.68,3639.323
-13.677,3742.043
-13.709,3719.618
-13.745,3654.876
-13.767,3563.73
-13.64,3540.22
-13.687,3589.772
-13.672,3677.662
-13.67,3623.77
-13.687,3597.367
-13.674,3544.199
-13.7,3559.751
-13.7,3578.559
-13.672,3509.838
-13.674,3483.073
-13.726,3411.097
-13.7,3315.611
-13.684,3220.486
-13.682,3238.571
-13.674,3262.442
-13.678,3193.721
-13.691,3231.699
-13.696,3250.145
-13.668,3288.846
-13.677,3323.568
-13.677,3383.608
-13.644,3289.207
-13.687,3276.91
-13.67,3269.314
-13.661,3292.101
-13.716,3265.335
-13.707,3346.354
-13.689,3364.8
-13.693,3420.862
-13.709,3475.839
-13.708,3453.415
-13.715,3441.84
-13.721,3456.308
-13.704,3364.8
-13.629,3327.546
-13.654,3399.161
-13.685,3315.972
-13.675,3227.72
-13.723,3216.146
-13.738,3246.528
-13.761,3261.719
-13.771,3350.333
-13.747,3372.757
-13.742,3372.396
-13.742,3449.074
-13.747,3403.139
-13.723,3327.546
-13.731,3269.314
-13.723,3292.101
-13.771,3209.274
-13.758,3224.103
-13.752,3246.528
-13.752,3368.417
-13.76,3368.055
-13.767,3391.204
-13.977,3445.819
-13.949,3493.924
-13.955,3483.073
-13.981,3464.989
-13.981,3430.628
-13.981,3449.074
-13.961,3472.584
-13.955,3391.204
-13.92,3331.163
-13.94,3288.484
-14.011,3238.571
-13.963,3151.042
-13.93,3197.338
-13.993,3342.737
-13.988,3335.142
-13.958,3418.692
-13.955,3475.839
-13.94,3548.177
-13.973,3475.839
-13.968,3418.692
-13.974,3453.415
