12#风箱负压_kPa,预测CO浓度_mg_m3
-16.836,3527.8490366734677
-16.72571717171717,3527.8490366734677
-16.61543434343434,3527.8490366734677
-16.505151515151514,3527.8490366734677
-16.394868686868687,3527.8490366734677
-16.284585858585856,3527.8490366734677
-16.17430303030303,3527.8490366734677
-16.0640202020202,3527.8490366734677
-15.953737373737372,3527.8490366734677
-15.843454545454543,3527.8490366734677
-15.733171717171716,3527.8490366734677
-15.622888888888887,3527.8490366734677
-15.512606060606059,3527.8490366734677
-15.40232323232323,3527.8490366734677
-15.292040404040403,3527.8490366734677
-15.181757575757574,3527.8490366734677
-15.071474747474745,3527.8490366734677
-14.961191919191918,3527.8490366734677
-14.85090909090909,3527.523691365659
-14.740626262626261,3527.523691365659
-14.630343434343434,3527.523691365659
-14.520060606060605,3527.523691365659
-14.409777777777776,3527.523691365659
-14.299494949494948,3527.523691365659
-14.189212121212119,3527.523691365659
-14.078929292929292,3527.5064338189195
-13.968646464646463,3527.5064338189195
-13.858363636363634,3527.5064338189195
-13.748080808080807,3527.438129427158
-13.637797979797979,3527.438129427158
-13.52751515151515,3527.4241519092043
-13.417232323232323,3527.4241519092043
-13.306949494949494,3527.4241519092043
-13.196666666666665,3527.4241519092043
-13.086383838383837,3527.4241519092043
-12.976101010101008,3527.4241519092043
-12.865818181818181,3527.4241519092043
-12.755535353535352,3527.4241519092043
-12.645252525252523,3527.4241519092043
-12.534969696969696,3527.4241519092043
-12.424686868686868,3527.4241519092043
-12.314404040404039,3527.4241519092043
-12.204121212121212,3527.4241519092043
-12.093838383838383,3527.4241519092043
-11.983555555555554,3527.4241519092043
-11.873272727272727,3527.4241519092043
-11.762989898989897,3527.4241519092043
-11.65270707070707,3527.4241519092043
-11.542424242424241,3527.4241519092043
-11.432141414141412,3527.4241519092043
-11.321858585858585,3527.4241519092043
-11.211575757575757,3527.4241519092043
-11.101292929292928,3527.4241519092043
-10.991010101010101,3527.4241519092043
-10.880727272727272,3527.4241519092043
-10.770444444444443,3527.4241519092043
-10.660161616161616,3527.4241519092043
-10.549878787878786,3527.4241519092043
-10.439595959595959,3527.4241519092043
-10.32931313131313,3527.4241519092043
-10.219030303030301,3527.4241519092043
-10.108747474747474,3527.4241519092043
-9.998464646464646,3527.4241519092043
-9.888181818181817,3527.4241519092043
-9.77789898989899,3527.4241519092043
-9.667616161616161,3527.4241519092043
-9.557333333333332,3527.4241519092043
-9.447050505050505,3527.4241519092043
-9.336767676767675,3527.4241519092043
-9.226484848484848,3527.4241519092043
-9.116202020202019,3527.4241519092043
-9.00591919191919,3527.4241519092043
-8.895636363636363,3527.4241519092043
-8.785353535353535,3527.4241519092043
-8.675070707070706,3527.4241519092043
-8.564787878787879,3527.4241519092043
-8.45450505050505,3527.4241519092043
-8.344222222222221,3527.4241519092043
-8.233939393939393,3527.4241519092043
-8.123656565656566,3527.4241519092043
-8.013373737373737,3527.4241519092043
-7.903090909090908,3527.4241519092043
-7.792808080808079,3527.4241519092043
-7.682525252525252,3527.4241519092043
-7.5722424242424236,3527.4241519092043
-7.461959595959595,3527.4241519092043
-7.351676767676768,3527.4241519092043
-7.241393939393939,3527.4241519092043
-7.13111111111111,3527.4241519092043
-7.0208282828282815,3527.4241519092043
-6.9105454545454545,3527.4241519092043
-6.800262626262626,3527.4241519092043
-6.689979797979797,3527.4241519092043
-6.579696969696968,3527.4241519092043
-6.469414141414141,3527.4241519092043
-6.3591313131313125,3527.4241519092043
-6.248848484848484,3527.4241519092043
-6.138565656565657,3527.4241519092043
-6.028282828282828,3527.4241519092043
-5.918,3527.4241519092043
